epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.7393396695454916,0.3333333333333333,0.3142857142857143,0.28125
2,0.38676753640174866,0.4166666666666667,0.37777777777777777,0.34375
3,0.19823157042264938,0.5,0.4857142857142857,0.53125
4,0.1076978233953317,0.5833333333333334,0.5804195804195804,0.5625
5,0.12361994509895642,0.5833333333333334,0.5804195804195804,0.5625
6,0.07317422423511744,0.5,0.5,0.6875
7,0.11841444857418537,0.4166666666666667,0.4125874125874126,0.4375
8,0.04431206857164701,0.5,0.4857142857142857,0.40625
9,0.04700416435177127,0.5,0.4857142857142857,0.5
10,0.09762190002948046,0.5,0.4857142857142857,0.5
11,0.028734336607158184,0.5,0.4857142857142857,0.53125
12,0.01945082175855835,0.5,0.4857142857142857,0.53125
13,0.022649069627126057,0.4166666666666667,0.4125874125874126,0.53125
14,0.03776389670868715,0.5833333333333334,0.5555555555555556,0.4375
15,0.011691173305734992,0.5833333333333334,0.4957983193277311,0.34375
16,0.011361272229502598,0.5833333333333334,0.4957983193277311,0.34375
17,0.007960439814875523,0.4166666666666667,0.37777777777777777,0.40625
18,0.00827616942115128,0.4166666666666667,0.37777777777777777,0.40625
19,0.012180876452475786,0.4166666666666667,0.37777777777777777,0.40625
20,0.006639409887914856,0.4166666666666667,0.37777777777777777,0.40625
21,0.003683370421640575,0.4166666666666667,0.37777777777777777,0.40625
22,0.04654365362754712,0.8333333333333334,0.7777777777777777,0.5625
23,0.04861552031555524,0.75,0.6974789915966386,0.59375
24,0.04645748056160907,0.75,0.7333333333333334,0.6875
25,0.10590048398201664,0.5833333333333334,0.5555555555555556,0.5625
26,0.029220351250842214,0.3333333333333333,0.3142857142857143,0.375
27,0.013129702769219875,0.5833333333333334,0.4957983193277311,0.46875
28,0.06046923684577147,0.5,0.4857142857142857,0.5625
29,0.008882801164872944,0.6666666666666666,0.6571428571428571,0.78125
30,0.2215920009960731,0.6666666666666666,0.6666666666666666,0.9375
31,0.13359464658424258,0.5,0.5,0.5625
32,0.20529780893897018,0.4166666666666667,0.4125874125874126,0.4375
33,0.13618760757769147,0.4166666666666667,0.4125874125874126,0.5
34,0.3262673211283982,0.3333333333333333,0.3142857142857143,0.34375
35,0.1332536113138,0.3333333333333333,0.3333333333333333,0.40625
36,0.0735775747646888,0.3333333333333333,0.3333333333333333,0.40625
37,0.06616655706117551,0.4166666666666667,0.4125874125874126,0.53125
38,0.07576167800774176,0.5,0.4857142857142857,0.53125
39,0.027344058888653915,0.5,0.4857142857142857,0.5625
40,0.009497719506422678,0.5,0.4857142857142857,0.59375
41,0.12955476227216423,0.5,0.4857142857142857,0.53125
42,0.08900404317925374,0.5,0.4857142857142857,0.625
43,0.054572253953665495,0.4166666666666667,0.4125874125874126,0.59375
44,0.12057050798709194,0.5833333333333334,0.5804195804195804,0.71875
45,0.04138154132912556,0.5,0.4857142857142857,0.65625
46,0.06408330254877607,0.5833333333333334,0.5555555555555556,0.46875
47,0.03018695387678842,0.5,0.4857142857142857,0.53125
48,0.10594477225095034,0.5,0.4857142857142857,0.5
49,0.016583779904370505,0.6666666666666666,0.625,0.53125
50,0.004923019208945334,0.6666666666666666,0.625,0.5625
51,0.007850677395860354,0.6666666666666666,0.625,0.5625
52,0.09083781383621196,0.75,0.7333333333333334,0.71875
53,0.0038772966945543885,0.75,0.7333333333333334,0.65625
54,0.006633408445244034,0.6666666666666666,0.6571428571428571,0.625
55,0.035106167662888765,0.6666666666666666,0.6571428571428571,0.75
56,0.005570924802062412,0.5833333333333334,0.5804195804195804,0.75
57,0.013528622415227195,0.5833333333333334,0.5804195804195804,0.75
