variant,model,seed,returncode,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std,summary_path
baseline,gine,46,0,0.625073,0.149790,0.684000,0.206068,gps_artifacts/final_sel\baseline_runs\graph_level\gine\20260311_073241_889314__none\gps_summary_20260311_073241_889314.csv
baseline,pna,46,0,0.595324,0.138766,0.639407,0.157353,gps_artifacts/final_sel\baseline_runs\graph_level\pna\20260311_073349_204942__none\gps_summary_20260311_073349_204942.csv
baseline,sage,47,0,0.594630,0.180044,0.768593,0.142566,gps_artifacts/final_sel\baseline_runs\graph_level\sage\20260311_073547_928911__none\gps_summary_20260311_073547_928911.csv
baseline,gcn,47,0,0.475802,0.113194,0.619556,0.133935,gps_artifacts/final_sel\baseline_runs\graph_level\gcn\20260311_073638_306788__none\gps_summary_20260311_073638_306788.csv
baseline,gin,47,0,0.580470,0.152989,0.652444,0.138554,gps_artifacts/final_sel\baseline_runs\graph_level\gin\20260311_073743_982308__none\gps_summary_20260311_073743_982308.csv
baseline,gatedgraph,47,0,0.531832,0.119280,0.732444,0.102402,gps_artifacts/final_sel\baseline_runs\graph_level\gatedgraph\20260311_073839_272956__none\gps_summary_20260311_073839_272956.csv
baseline,gine,47,0,0.459497,0.117722,0.560000,0.135056,gps_artifacts/final_sel\baseline_runs\graph_level\gine\20260311_073944_930192__none\gps_summary_20260311_073944_930192.csv
baseline,pna,47,0,0.424192,0.089420,0.436000,0.103846,gps_artifacts/final_sel\baseline_runs\graph_level\pna\20260311_074101_120755__none\gps_summary_20260311_074101_120755.csv
baseline,sage,48,0,0.602762,0.092803,0.668741,0.180182,gps_artifacts/final_sel\baseline_runs\graph_level\sage\20260311_074236_221207__none\gps_summary_20260311_074236_221207.csv
baseline,gcn,48,0,0.599722,0.204803,0.643259,0.215023,gps_artifacts/final_sel\baseline_runs\graph_level\gcn\20260311_074332_251981__none\gps_summary_20260311_074332_251981.csv
baseline,gin,48,0,0.508476,0.054842,0.601926,0.114245,gps_artifacts/final_sel\baseline_runs\graph_level\gin\20260311_074434_048558__none\gps_summary_20260311_074434_048558.csv
baseline,gatedgraph,48,0,0.511426,0.090983,0.506667,0.177589,gps_artifacts/final_sel\baseline_runs\graph_level\gatedgraph\20260311_074530_678536__none\gps_summary_20260311_074530_678536.csv
baseline,gine,48,0,0.604573,0.075749,0.640444,0.118287,gps_artifacts/final_sel\baseline_runs\graph_level\gine\20260311_074629_666098__none\gps_summary_20260311_074629_666098.csv
baseline,pna,48,0,0.432343,0.070096,0.629185,0.176433,gps_artifacts/final_sel\baseline_runs\graph_level\pna\20260311_074731_356739__none\gps_summary_20260311_074731_356739.csv
baseline,sage,49,0,0.581667,0.179846,0.723111,0.103724,gps_artifacts/final_sel\baseline_runs\graph_level\sage\20260311_074927_337538__none\gps_summary_20260311_074927_337538.csv
baseline,gcn,49,0,0.605126,0.135259,0.736889,0.171642,gps_artifacts/final_sel\baseline_runs\graph_level\gcn\20260311_075028_904296__none\gps_summary_20260311_075028_904296.csv
baseline,gin,49,0,0.552301,0.150341,0.703111,0.155445,gps_artifacts/final_sel\baseline_runs\graph_level\gin\20260311_075230_585412__none\gps_summary_20260311_075230_585412.csv
baseline,gatedgraph,49,0,0.556044,0.078617,0.676000,0.150413,gps_artifacts/final_sel\baseline_runs\graph_level\gatedgraph\20260311_075432_318391__none\gps_summary_20260311_075432_318391.csv
baseline,gine,49,0,0.624965,0.127582,0.696296,0.147839,gps_artifacts/final_sel\baseline_runs\graph_level\gine\20260311_075626_057407__none\gps_summary_20260311_075626_057407.csv
baseline,pna,49,0,0.466340,0.105143,0.575556,0.172069,gps_artifacts/final_sel\baseline_runs\graph_level\pna\20260311_075825_225005__none\gps_summary_20260311_075825_225005.csv
baseline,sage,50,0,0.531404,0.102952,0.609630,0.132253,gps_artifacts/final_sel\baseline_runs\graph_level\sage\20260311_080010_063241__none\gps_summary_20260311_080010_063241.csv
baseline,gcn,50,0,0.595345,0.230482,0.662815,0.169082,gps_artifacts/final_sel\baseline_runs\graph_level\gcn\20260311_080105_913257__none\gps_summary_20260311_080105_913257.csv
baseline,gin,50,0,0.497200,0.130926,0.531556,0.156463,gps_artifacts/final_sel\baseline_runs\graph_level\gin\20260311_080211_461666__none\gps_summary_20260311_080211_461666.csv
baseline,gatedgraph,50,0,0.575902,0.138177,0.717926,0.120785,gps_artifacts/final_sel\baseline_runs\graph_level\gatedgraph\20260311_080317_475106__none\gps_summary_20260311_080317_475106.csv
baseline,gine,50,0,0.516944,0.157397,0.646519,0.102406,gps_artifacts/final_sel\baseline_runs\graph_level\gine\20260311_080425_100255__none\gps_summary_20260311_080425_100255.csv
baseline,pna,50,0,0.447738,0.100191,0.603111,0.103467,gps_artifacts/final_sel\baseline_runs\graph_level\pna\20260311_080543_627189__none\gps_summary_20260311_080543_627189.csv
