local_gnn,global_attn,shortcut_frac,f1_mean,f1_std,auc_mean,auc_std,num_seeds
gcn,none,0.0,0.5042315764395354,0.12519455298659402,0.6154684095860566,0.09545206971677556,2
gcn,none,0.1,0.5548912796385517,0.04792652877136189,0.650531045751634,0.03656045751633996,2
gcn,none,0.2,0.5341614834720496,0.08943189012132396,0.6177832244008714,0.07366557734204793,2
gcn,performer,0.0,0.528971643681396,0.048122830471901634,0.5667211328976035,0.014025054466230924,2
gcn,performer,0.1,0.4946319733471436,0.03196229008922505,0.5797930283224401,0.03608387799564272,2
gcn,performer,0.2,0.5263325906708259,0.05345048911225378,0.5806100217864925,0.03717320261437912,2
