epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.6984812498092652,0.4,0.2857142857142857,0.5625
2,0.8383387565612793,0.4,0.2857142857142857,0.29166666666666663
3,0.7057671904563904,0.6,0.375,0.16666666666666666
4,0.6845143675804138,0.6,0.375,0.20833333333333334
5,0.7000019788742066,0.6,0.375,0.35416666666666663
6,0.7130104660987854,0.6,0.375,0.45833333333333337
7,0.6837483882904053,0.6,0.375,0.4166666666666667
8,0.7187243819236755,0.6,0.375,0.41666666666666663
9,0.71663978099823,0.6,0.375,0.5416666666666666
10,0.6893760442733765,0.6,0.375,0.4166666666666667
11,0.6857011079788208,0.6,0.375,0.4583333333333333
12,0.692472767829895,0.6,0.375,0.4583333333333333
13,0.6977731823921204,0.6,0.375,0.375
