epoch,train_loss,val_accuracy,val_f1,val_roc_auc,val_selection
1,0.7491065263748169,0.6666666666666666,0.5555555555555556,0.6875,0.5555555555555556
2,0.2546639107167721,0.6666666666666666,0.6571428571428571,0.71875,0.6571428571428571
3,0.106410996367534,0.75,0.6974789915966386,0.8125,0.6974789915966386
4,0.08205219296117623,0.75,0.7333333333333334,0.875,0.7333333333333334
5,0.021271396971618135,0.5833333333333334,0.5804195804195804,0.875,0.5804195804195804
6,0.12397498202820618,0.5833333333333334,0.5804195804195804,0.625,0.5804195804195804
7,0.027161871703962486,0.6666666666666666,0.625,0.6875,0.625
8,0.02091350220143795,0.75,0.6974789915966386,0.78125,0.6974789915966386
9,0.016984310544406373,0.75,0.6974789915966386,0.8125,0.6974789915966386
10,0.006974162786112477,0.75,0.6974789915966386,0.8125,0.6974789915966386
11,0.0016758058724614482,0.75,0.6974789915966386,0.84375,0.6974789915966386
12,0.11488998910256971,0.75,0.7333333333333334,0.71875,0.7333333333333334
13,0.1790899736030648,0.8333333333333334,0.7777777777777777,0.875,0.7777777777777777
14,0.12437028352481623,0.75,0.6974789915966386,0.90625,0.6974789915966386
15,0.12686583399772644,0.75,0.7333333333333334,0.8125,0.7333333333333334
16,0.1346630398184061,0.6666666666666666,0.5555555555555556,0.90625,0.5555555555555556
17,0.04123741784133017,0.75,0.6210526315789473,0.71875,0.6210526315789473
18,0.06617810239549726,0.75,0.6974789915966386,0.78125,0.6974789915966386
19,0.04020345185805733,0.75,0.7482517482517483,0.84375,0.7482517482517483
20,0.1613661441175888,0.75,0.7333333333333334,0.875,0.7333333333333334
21,0.01995800536436339,0.6666666666666666,0.5555555555555556,0.78125,0.5555555555555556
22,0.10932453830416004,0.6666666666666666,0.625,0.84375,0.625
23,0.04852780451377233,0.6666666666666666,0.625,0.78125,0.625
24,0.10335826538115118,0.6666666666666666,0.625,0.78125,0.625
25,0.021155546690958243,0.6666666666666666,0.6571428571428571,0.65625,0.6571428571428571
26,0.007350634861116608,0.6666666666666666,0.6571428571428571,0.65625,0.6571428571428571
27,0.0499356657868096,0.6666666666666666,0.5555555555555556,0.6875,0.5555555555555556
28,0.23645060717050606,0.6666666666666666,0.625,0.8125,0.625
29,0.003632767290885871,0.75,0.7333333333333334,0.84375,0.7333333333333334
30,0.16748338060763976,0.75,0.7333333333333334,0.84375,0.7333333333333334
31,0.014881621425350508,0.8333333333333334,0.8125,0.875,0.8125
32,0.12605891671652594,0.75,0.7333333333333334,0.8125,0.7333333333333334
