epoch,train_loss,train_acc,train_f1,val_acc,val_f1,val_roc_auc,val_pr_auc
1,0.6780893031967754,0.6434624697336562,0.565166601644633,0.6652542372881356,0.3994910941475827,0.8027672516505864,0.6970331804998009
2,0.7013264996953507,0.652542372881356,0.6521707233690412,0.3347457627118644,0.2507936507936508,0.6189082838381396,0.4345046881190227
3,0.37386994399400947,0.8834745762711864,0.8682545635360193,0.6652542372881356,0.3994910941475827,0.6828634649323192,0.5113769824971064
4,0.2498925300112071,0.9639830508474576,0.9591254686641519,0.3347457627118644,0.2507936507936508,0.7848067671799833,0.6435227001154765
5,0.1929284793124072,0.9842615012106537,0.9825232344711216,0.365819209039548,0.3013961440667723,0.9717698227131429,0.9631326779538647
6,0.18935312446179747,0.986682808716707,0.9851930798915312,0.6652542372881356,0.3994910941475827,0.9347245738038289,0.8957185306566818
7,0.1731481212969265,0.9975786924939467,0.9972866211699394,0.6652542372881356,0.3994910941475827,0.9400705026561675,0.9057044602820977
8,0.17173422790035497,0.9960653753026635,0.9955917400341786,0.6652542372881356,0.3994910941475827,0.8195373879079434,0.7257431250311044
9,0.16020038514679916,0.9993946731234867,0.9993204409071538,0.6652542372881356,0.3994910941475827,0.7565306780617592,0.619969883697273
10,0.15243774663305168,1.0,1.0,0.6652542372881356,0.3994910941475827,0.8181353973501034,0.7064513406713739
11,0.15151117132304656,0.9996973365617433,0.9996602967160131,0.6666666666666666,0.4040319013853419,0.9856284769813755,0.9791788022724904
12,0.14923778013946357,0.9996973365617433,0.9996602967160131,0.4738700564971751,0.4532481337762273,0.9901390344629883,0.9864486008514698
13,0.1468804729403364,1.0,1.0,0.6694915254237288,0.41301020408163264,0.9886452202424144,0.969084815917823
14,0.1427296799118236,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9050341763193492,0.7697465773502101
15,0.1440671104351487,1.0,1.0,0.6659604519774012,0.4017658486479244,0.93311430030369,0.8415657167675181
16,0.142221653793395,1.0,1.0,0.9540960451977402,0.9471607515298065,0.9934088526969281,0.9858164234052325
17,0.1414317599797653,1.0,1.0,0.856638418079096,0.8151239858118169,0.9967100253522894,0.9935080774638751
18,0.13988268602702578,1.0,1.0,0.6659604519774012,0.4017658486479244,0.9365005778171946,0.8756991274213728
19,0.1383840729624538,1.0,1.0,0.6652542372881356,0.3994910941475827,0.8790951113977801,0.789261756696156
20,0.1380240386825497,1.0,1.0,0.6652542372881356,0.3994910941475827,0.929465989411164,0.887765383231129
21,0.13764715072029152,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9923987924068549,0.9892755040176217
22,0.13749341331151727,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9999238535479767,0.9998510863558143
23,0.13648858929806126,1.0,1.0,0.6652542372881356,0.3994910941475827,0.998479310561065,0.9972550237010087
24,0.1361999027882015,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9938388561907064,0.9891193188422576
25,0.13669105018455238,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9917940999937291,0.9861067090038173
26,0.13594708138891917,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9945980811094091,0.990965047790404
27,0.13545016349083575,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9985733738253291,0.9974869251430158
28,0.13528217194877007,1.0,1.0,0.6652542372881356,0.3994910941475827,0.998340455266199,0.9969276227852301
29,0.1355260254107145,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9988690012273017,0.9978095850908486
30,0.1350011096739596,1.0,1.0,0.6694915254237288,0.41301020408163264,0.9987391043385561,0.9973103827628258
31,0.13473855518255626,1.0,1.0,0.9357344632768362,0.9241687641643622,0.9983762888906805,0.9967252823606658
32,0.13435222522398463,1.0,1.0,0.807909604519774,0.7357367906818457,0.9989675436946258,0.998042380820426
33,0.13436193634320692,1.0,1.0,0.8248587570621468,0.7646957920128652,0.9997290082148584,0.9994806693411786
34,0.13417735869024336,1.0,1.0,0.9731638418079096,0.9692353432207751,0.9999238535479767,0.9998500740216407
