epoch,train_loss,val_accuracy,val_f1,val_roc_auc,val_selection
1,0.7074334919452667,0.6666666666666666,0.4,0.8125,0.8125
2,0.34818798551956814,0.6666666666666666,0.5555555555555556,0.6875,0.6875
3,0.2005895326534907,0.6666666666666666,0.5555555555555556,0.71875,0.71875
4,0.10773163350919883,0.6666666666666666,0.625,0.6875,0.6875
5,0.03772576618939638,0.75,0.6974789915966386,0.78125,0.78125
6,0.07558921352028847,0.75,0.6974789915966386,0.8125,0.8125
7,0.027467006041357916,0.8333333333333334,0.8125,0.75,0.75
8,0.028738304196546476,0.6666666666666666,0.6666666666666666,0.71875,0.71875
9,0.017646611512949068,0.5833333333333334,0.5555555555555556,0.75,0.75
10,0.009623851316670576,0.5833333333333334,0.5555555555555556,0.78125,0.78125
11,0.06073670803258816,0.6666666666666666,0.625,0.78125,0.78125
12,0.007992824151491126,0.6666666666666666,0.5555555555555556,0.84375,0.84375
13,0.007987567223608494,0.6666666666666666,0.5555555555555556,0.84375,0.84375
14,0.03726885405679544,0.6666666666666666,0.5555555555555556,0.84375,0.84375
15,0.16792043143262467,0.75,0.6974789915966386,0.8125,0.8125
16,0.04299199782932798,0.6666666666666666,0.5555555555555556,0.8125,0.8125
17,0.23677537900706133,0.75,0.6210526315789473,0.75,0.75
18,0.24175989348441362,0.6666666666666666,0.5555555555555556,0.8125,0.8125
19,0.0793708583029608,0.75,0.7333333333333334,0.84375,0.84375
20,0.05037249997258186,0.75,0.7333333333333334,0.78125,0.78125
21,0.06181793690969547,0.5,0.4375,0.65625,0.65625
22,0.013946349189306298,0.5833333333333334,0.4957983193277311,0.65625,0.65625
23,0.010322043982644876,0.6666666666666666,0.5555555555555556,0.6875,0.6875
24,0.012551584979519248,0.6666666666666666,0.5555555555555556,0.75,0.75
25,0.005694113555364311,0.6666666666666666,0.5555555555555556,0.75,0.75
26,0.07036361645441502,0.5833333333333334,0.4957983193277311,0.625,0.625
27,0.3756912239671995,0.5833333333333334,0.4957983193277311,0.625,0.625
28,0.18030394737919173,0.75,0.6210526315789473,0.71875,0.71875
29,0.038210390601307154,0.75,0.6210526315789473,0.75,0.75
30,0.03980565102150043,0.75,0.6210526315789473,0.78125,0.78125
31,0.024200096415976684,0.8333333333333334,0.7777777777777777,0.78125,0.78125
32,0.022205459497248132,0.75,0.6974789915966386,0.84375,0.84375
