epoch,train_loss,train_acc,train_f1,val_acc,val_f1,val_roc_auc,val_pr_auc
1,5.404430708065449,0.4948547215496368,0.484376330990245,0.3347457627118644,0.2507936507936508,0.5005307855626326,0.334982332155477
2,3.7781582633461848,0.44552058111380144,0.4361470115342983,0.6652542372881356,0.3994910941475827,0.5173905058811936,0.34284812390872754
3,0.8451551126798764,0.7097457627118644,0.6200974270870514,0.3347457627118644,0.2507936507936508,0.5218237971100181,0.35409675026199966
4,0.486498853268404,0.7902542372881356,0.7787629764681203,0.6652542372881356,0.3994910941475827,0.7811954097127038,0.6486016509947967
5,0.3350543417307136,0.8931598062953995,0.8856065082881219,0.3347457627118644,0.2507936507936508,0.8608826717550413,0.7612483309132091
6,0.21511249146796313,0.9651937046004843,0.9611917233659102,0.6652542372881356,0.3994910941475827,0.6087102582708485,0.4434365222840454
7,0.19951419745172774,0.9891041162227603,0.9878060332578387,0.7019774011299436,0.5073588819380093,0.9486929685470361,0.9310367893668096
8,0.18067742830038647,0.9939467312348669,0.9932285646360558,0.6652542372881356,0.3994910941475827,0.5622295681152409,0.3836483641647552
9,0.16030637237985254,0.9981840193704601,0.9979613227214614,0.6652542372881356,0.3994910941475827,0.5559497254248524,0.378053138884343
10,0.16054103175317982,0.9984866828087167,0.9983030036322091,0.6652542372881356,0.3994910941475827,0.5658666810001165,0.3871459191921433
11,0.14979058063925035,0.9996973365617433,0.9996602967160131,0.6652542372881356,0.3994910941475827,0.6842721742947494,0.5411082209271593
12,0.14872731502927822,0.9996973365617433,0.9996601440869751,0.6652542372881356,0.3994910941475827,0.5857207485644154,0.4092692767911935
13,0.14737337889018995,1.0,1.0,0.6652542372881356,0.3994910941475827,0.5823165542386699,0.40580500378881634
14,0.14812093229905746,0.99909200968523,0.9989808901480393,0.6652542372881356,0.3994910941475827,0.6030575040088867,0.4243642752118888
15,0.141631276209187,0.9996973365617433,0.9996602967160131,0.6652542372881356,0.3994910941475827,0.9092782212188807,0.8716596444966314
16,0.14066821834654267,1.0,1.0,0.3587570621468927,0.2922728023339021,0.9763386098345381,0.967561917543361
17,0.14119393275667333,0.9996973365617433,0.9996602967160131,0.6709039548022598,0.4174485742032312,0.9764147562865615,0.9650431363863219
18,0.13749011842303935,0.9996973365617433,0.9996602967160131,0.6652542372881356,0.3994910941475827,0.6376817436641672,0.45516757541291575
19,0.13775743313187838,1.0,1.0,0.6652542372881356,0.3994910941475827,0.6354645381493724,0.4558744483623095
20,0.13832683922592146,1.0,1.0,0.6652542372881356,0.3994910941475827,0.6434263215888629,0.46422523310359143
21,0.13653479253120052,1.0,1.0,0.6673728813559322,0.40628930817610065,0.6648145162012774,0.4884555462417134
22,0.13521681700722646,1.0,1.0,0.9350282485875706,0.9229823300162701,0.9991735870353947,0.9983596152335932
23,0.13509226216963938,1.0,1.0,0.5423728813559322,0.5348565588729104,0.9993818699776935,0.9985362754049729
24,0.1344865114939992,1.0,1.0,0.507768361581921,0.49454859252848105,0.999343796751682,0.9983766624985764
25,0.1343639054973824,1.0,1.0,0.9590395480225988,0.9552912535738471,0.999789477456171,0.9995615595991182
26,0.1343712593106323,1.0,1.0,0.9950564971751412,0.9944415003238533,0.9999731247816389,0.9999465040296358
27,0.13363297171800534,1.0,1.0,0.7838983050847458,0.691819229292024,0.9997469250270992,0.9995438853820968
28,0.1338663090372201,1.0,1.0,0.7676553672316384,0.6599153044099085,0.9986271242620514,0.9983610938648846
29,0.1333924849443228,1.0,1.0,0.7584745762711864,0.6410023751701316,0.9969071102869378,0.9957282189260663
30,0.1335067251115388,1.0,1.0,0.7274011299435028,0.5715616034615203,0.979046288084424,0.975446195238052
31,0.1331741202974435,1.0,1.0,0.6942090395480226,0.48617185764987364,0.915481917457246,0.9060522824027205
32,0.13340423514132926,1.0,1.0,0.6709039548022598,0.4174485742032312,0.7699145368056115,0.7195391766005604
33,0.13298184585196055,1.0,1.0,0.673728813559322,0.42622588487891133,0.7837631128669587,0.7376741656100771
34,0.1328977198491085,1.0,1.0,0.7365819209039548,0.5930203617730346,0.9680252089548228,0.9661199740455695
35,0.13290723122782627,1.0,1.0,1.0,1.0,1.0,1.0
36,0.13265980679099842,1.0,1.0,0.9901129943502824,0.9889801772154714,1.0,1.0
37,0.13290469499967866,1.0,1.0,0.8531073446327684,0.8479820961095375,1.0,1.0
38,0.13274329972902163,1.0,1.0,1.0,1.0,1.0,1.0
39,0.13265257579506742,1.0,1.0,0.9971751412429378,0.9968220338983051,1.0,1.0
40,0.13276757022081795,1.0,1.0,0.9957627118644068,0.9952279850369022,1.0,1.0
41,0.13250012695789337,1.0,1.0,0.9929378531073446,0.9920295940721795,1.0,1.0
42,0.13260023797395443,1.0,1.0,0.981638418079096,0.9790939341972266,1.0,1.0
43,0.13251013653330307,1.0,1.0,0.9964689265536724,0.9960254349706708,1.0,1.0
44,0.1325298128852544,1.0,1.0,1.0,1.0,1.0,1.0
45,0.13236138617876944,1.0,1.0,1.0,1.0,1.0,1.0
46,0.1326081641649796,1.0,1.0,1.0,1.0,1.0,1.0
47,0.13254042572317054,1.0,1.0,1.0,1.0,1.0,1.0
