epoch,train_loss,train_acc,train_f1,val_acc,val_f1,val_roc_auc,val_pr_auc
1,0.7953863849651438,0.46943099273607747,0.4649309670087791,0.6652542372881356,0.3994910941475827,0.5709416180673135,0.387244982914165
2,1.1909806024075709,0.6676755447941889,0.4072541352439972,0.6652542372881356,0.3994910941475827,0.8045454952654824,0.6476091714453831
3,0.498363365416954,0.7832929782082324,0.771585970799018,0.3347457627118644,0.2507936507936508,0.8798442581095971,0.8239962781227894
4,0.509598030810206,0.7133777239709443,0.7126784242239583,0.5098870056497176,0.49753652266215076,0.9339227964560547,0.8708624933934596
5,0.2589054848755243,0.947639225181598,0.9419175622268647,0.6652542372881356,0.3994910941475827,0.897379218289482,0.7636985403024735
6,0.23778122331559226,0.9706416464891041,0.9665221476559142,0.3347457627118644,0.2507936507936508,0.9624082883173426,0.9462553971222298
7,0.18952181036911056,0.9897094430992736,0.9884885598812949,0.6652542372881356,0.3994910941475827,0.9836486692287708,0.9653083699313153
8,0.1823144460200686,0.988498789346247,0.9871957574830452,0.6652542372881356,0.3994910941475827,0.9808782821360424,0.9553464598338345
9,0.16841609711075523,0.9927360774818402,0.99188853445327,0.6652542372881356,0.3994910941475827,0.9516873157927741,0.8738094491142263
10,0.16348409908880043,0.9954600484261501,0.9949203027688143,0.6652542372881356,0.3994910941475827,0.9731494172556819,0.9347063915789326
11,0.1546184035969704,0.9984866828087167,0.9983030036322091,0.6652542372881356,0.3994910941475827,0.9816957366945274,0.9539924350138418
12,0.14730299706176175,0.9996973365617433,0.9996602967160131,0.6652542372881356,0.3994910941475827,0.9895365816513926,0.9759023943892555
13,0.14554227278827178,0.9996973365617433,0.9996601440869751,0.6652542372881356,0.3994910941475827,0.9967592965859514,0.994275928168705
14,0.1441570679154292,0.9996973365617433,0.9996602967160131,0.6652542372881356,0.3994910941475827,0.9790686840997249,0.9745592407194936
15,0.14213459626670033,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9899845019574117,0.9889044805876713
16,0.13971979793422737,1.0,1.0,0.6716101694915254,0.41965525173920976,0.997523000707714,0.9961786601604041
17,0.1389292348311542,0.9996973365617433,0.9996602967160131,0.6652542372881356,0.3994910941475827,0.999440099617476,0.9989923023276944
18,0.13816793468616198,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9981612871437914,0.9972984172025734
19,0.13721985692839356,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9985644154192087,0.9972925552227799
20,0.13668650309341004,1.0,1.0,0.6666666666666666,0.4040319013853419,0.9990840029741909,0.9981826879026389
21,0.13550720304322877,1.0,1.0,0.5021186440677966,0.4877691728663591,0.9999372911571573,0.9998789128074563
22,0.1348064978749065,1.0,1.0,0.923728813559322,0.918458230958231,0.9999865623908195,0.9999733881869267
23,0.13470770003720578,1.0,1.0,0.6694915254237288,0.41301020408163264,0.9979507645999623,0.9968736758896902
24,0.1345130986653575,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9898344486548954,0.9790389998432492
25,0.1339027872963044,1.0,1.0,0.760593220338983,0.6454265637568724,0.984772949196879,0.9709043911593594
26,0.13406084784583952,1.0,1.0,0.8693502824858758,0.8639145502234584,0.9947123007874439,0.9889023780158943
27,0.13343404637554945,1.0,1.0,0.9639830508474576,0.9605628541798754,0.997991077427504,0.9955161049804095
28,0.133349370725507,1.0,1.0,0.7153954802259888,0.5421685393709158,0.9990324921389987,0.9979291987186855
29,0.13309812340118696,1.0,1.0,0.875,0.8422736875492045,1.0,1.0
30,0.1329497866350571,1.0,1.0,0.9759887005649718,0.9734992018495073,1.0,1.0
31,0.13267195369083137,1.0,1.0,0.9576271186440678,0.9537907268170426,1.0,1.0
32,0.13258233670028013,1.0,1.0,0.8269774011299436,0.7682080488438798,1.0,1.0
33,0.13254459292490314,1.0,1.0,0.6652542372881356,0.3994910941475827,1.0,1.0
34,0.13225970184543231,1.0,1.0,0.673728813559322,0.42622588487891133,0.9999999999999999,1.0
35,0.13238400960516988,1.0,1.0,0.9915254237288136,0.9904251866277183,1.0,1.0
36,0.13221089538304048,1.0,1.0,0.989406779661017,0.9881989969147378,0.9999843227892893,0.9999687114456562
37,0.13219878416661776,1.0,1.0,0.969632768361582,0.9650858546906852,0.9999708851801088,0.9999416520995186
38,0.13205237571177125,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9999484891648078,0.9998975068111062
39,0.13210679334531975,1.0,1.0,0.6673728813559322,0.40628930817610065,0.9999843227892893,0.999968974696014
40,0.13203145956877646,1.0,1.0,0.998587570621469,0.9984126948540375,1.0,1.0
41,0.131938553679076,1.0,1.0,0.9943502824858758,0.993683703419543,1.0,1.0
