local_gnn,global_attn,lap_pe_dim,lap_pe_encoder,rwse_dim,rwse_encoder,out_dir,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std
sage,none,8,raw,8,linear,gps_artifacts/gnn_baseline_stability_20260207\p4_balanced_fast\graph_level\sage\20260207_192249_227803__none__sage_none_lap8_rwse8,0.6,0.07302967433402213,0.4484484597528076,0.0578269019071613,0.616,0.10613199329137277
gcn,none,8,raw,8,linear,gps_artifacts/gnn_baseline_stability_20260207\p4_balanced_fast\graph_level\gcn\20260207_192301_860836__none__gcn_none_lap8_rwse8,0.6266666666666667,0.11623730516108463,0.5584242226118656,0.10501657371773611,0.6878518518518518,0.09162289265332035
pna,none,8,raw,8,linear,gps_artifacts/gnn_baseline_stability_20260207\p4_balanced_fast\graph_level\pna\20260207_192315_925071__none__pna_none_lap8_rwse8,0.6266666666666667,0.03265986323710904,0.4304545454545455,0.04837440071595822,0.5514074074074073,0.1791971732091369
gin,none,8,raw,8,linear,gps_artifacts/gnn_baseline_stability_20260207\p4_balanced_fast\graph_level\gin\20260207_192351_717748__none__gin_none_lap8_rwse8,0.6133333333333333,0.07774602526460399,0.4966505063563888,0.11410822861589925,0.608,0.07959899496852962
gine,none,8,raw,8,linear,gps_artifacts/gnn_baseline_stability_20260207\p4_balanced_fast\graph_level\gine\20260207_192405_269821__none__gine_none_lap8_rwse8,0.6933333333333334,0.08,0.601017316017316,0.13138983852826852,0.6616296296296296,0.11500190253093155
gatedgraph,none,8,raw,8,linear,gps_artifacts/gnn_baseline_stability_20260207\p4_balanced_fast\graph_level\gatedgraph\20260207_192420_089868__none__gatedgraph_none_lap8_rwse8,0.6533333333333333,0.07774602526460403,0.5892132505175984,0.08656337726141648,0.6893333333333334,0.07285907249234265
