epoch,train_loss,train_acc,train_f1,val_acc,val_f1,val_roc_auc,val_pr_auc
1,0.7604857948732723,0.5199757869249395,0.4990033883267173,0.6666666666666666,0.4040319013853419,0.6162801114425722,0.44327807724210394
2,0.6993495918648006,0.6080508474576272,0.5723197943782885,0.4484463276836158,0.44047619649935876,0.6347389072536215,0.4859805372420519
3,0.6479937053188574,0.6598062953995157,0.6306702818990153,0.6652542372881356,0.3994910941475827,0.6738893816012256,0.5309107260690983
4,0.5337245110738076,0.7693704600484261,0.7500769330648585,0.3347457627118644,0.2507936507936508,0.772750992143478,0.6385328097461458
5,0.38644480026951716,0.8519975786924939,0.8407243851524704,0.3347457627118644,0.2507936507936508,0.8786987019269531,0.7918115738217664
6,0.27946484861015986,0.9334140435835351,0.926091143952261,0.3347457627118644,0.2507936507936508,0.6951543981294849,0.5894921582640832
7,0.20818400375779547,0.9694309927360775,0.9660475428411893,0.3347457627118644,0.2507936507936508,0.7324560814139949,0.629911894085567
8,0.17600305923249474,0.9845641646489104,0.9827593668898686,0.6659604519774012,0.4017658486479244,0.9493424529907639,0.9268342267371862
9,0.16487750378561367,0.9918280871670703,0.9908280113323535,0.6652542372881356,0.3994910941475827,0.8524057799636289,0.7754580452641944
10,0.1525030255173367,0.9957627118644068,0.9952452202416122,0.6822033898305084,0.6820962093016294,0.9695638152059985,0.9486648434452646
11,0.16451182463555877,0.9906174334140436,0.9895295440459095,0.6652542372881356,0.3994910941475827,0.8464372418859236,0.738932468508503
12,0.1590366362082179,0.9933414043583535,0.9924873545541175,0.6680790960451978,0.4085381243712296,0.9625001119800765,0.9557325106503503
13,0.15057549829488806,0.9954600484261501,0.9949090108966273,0.3347457627118644,0.2507936507936508,0.8301475001567722,0.6942949358492856
14,0.14473361476858937,0.9966707021791767,0.996268273206676,0.3361581920903955,0.2531779661016949,0.8338058892561835,0.6984762504376474
15,0.14067496153690626,0.9981840193704601,0.9979613227214614,0.7761299435028248,0.6767986889693562,0.8855496430075162,0.8663676457803285
16,0.13887042723614137,0.9993946731234867,0.9993204409071538,0.6673728813559322,0.40628930817610065,0.877662886219284,0.8154401344786473
17,0.14131063767697563,0.9978813559322034,0.9976188630359271,0.8693502824858758,0.854159348003877,0.9084630062619259,0.8892745654347091
18,0.13878481465303869,0.9984866828087167,0.9983014835800654,0.8940677966101694,0.8745934916147682,0.9344670196278678,0.9183713413295826
19,0.1413492030367147,0.9978813559322034,0.997621008608826,0.6694915254237288,0.41301020408163264,0.8621379684126601,0.7637676324458151
20,0.13732922347781157,0.9993946731234867,0.9993201352321808,0.6652542372881356,0.3994910941475827,0.6786485348526791,0.4930777409766931
21,0.1355672629130666,1.0,1.0,0.6652542372881356,0.3994910941475827,0.6142263968394743,0.42680766442273355
22,0.13719097108153974,0.9993946731234867,0.9993204409071538,0.6652542372881356,0.3994910941475827,0.6191759162209859,0.4274586062556185
23,0.13504115180010945,1.0,1.0,0.6652542372881356,0.3994910941475827,0.6374913775341091,0.433162818686196
24,0.1349847053716604,0.9996973365617433,0.9996602967160131,0.6652542372881356,0.3994910941475827,0.6115433542064197,0.4115301173876857
