local_gnn,global_attn,lap_pe_dim,lap_pe_encoder,rwse_dim,rwse_encoder,out_dir,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,val_thr_mean,val_thr_std,val_thr_f1_mean,val_thr_f1_std
sage,multihead,0,raw,0,raw,gps_artifacts/attn_tuned/multihead\node_level\sage\20260207_165320_455730__multihead__sage_multihead_lap0_rwse0,0.9994350282485875,0.0005284826817477087,0.9993653446403453,0.0005939061085230159,0.9999978649389737,1.9977088831755405e-06,0.9999989249912655,1.005578592998929e-06,0.036666666666666674,0.004714045207910318,0.999735588302023,0.0003739346093289782
gin,multihead,0,raw,0,raw,gps_artifacts/attn_tuned/multihead\node_level\gin\20260207_165347_794611__multihead__gin_multihead_lap0_rwse0,0.9888418079096045,0.004325817183930416,0.9874717117836908,0.004863934469093733,0.9972804311140754,0.0024917579193439784,0.9986124324760138,0.001331502526884838,0.9866666666666667,0.004714045207910321,0.9891398473978077,0.004331684358509199
gine,multihead,0,raw,0,raw,gps_artifacts/attn_tuned/multihead\node_level\gine\20260207_165408_372103__multihead__gine_multihead_lap0_rwse0,0.9964689265536723,0.0025967198179166944,0.9960390220599633,0.002915275796317052,0.9998475858010903,0.00015102541401178297,0.9999199118492837,8.069639545822299e-05,0.4566666666666666,0.30814859330452177,0.9981524341179598,0.0013459636218168545
gcn,multihead,0,raw,0,raw,gps_artifacts/attn_tuned/multihead\node_level\gcn\20260207_165433_442506__multihead__gcn_multihead_lap0_rwse0,0.9985875706214689,0.0014404009925403046,0.9984113457136624,0.0016215325716402342,0.99999734628347,3.7529219073710187e-06,0.999998656239082,1.9003649148497871e-06,0.30333333333333334,0.3249957264676295,0.9981432266831364,0.0026258740069610665
pna,multihead,0,raw,0,raw,gps_artifacts/attn_tuned/multihead\node_level\pna\20260207_165459_259655__multihead__pna_multihead_lap0_rwse0,0.6340395480225989,0.26589252217633536,0.6079014318373132,0.29191711633562994,0.999965481221983,3.75371876068716e-05,0.9999825311080652,1.901504791992987e-05,0.6699999999999999,0.4525483399593904,0.6085726260224886,0.2932298054337804
transformerconv,multihead,0,raw,0,raw,gps_artifacts/attn_tuned/multihead\node_level\transformerconv\20260207_165530_270049__multihead__transformerconv_multihead_lap0_rwse0,0.8351694915254236,0.1538748302114224,0.8257037536869577,0.15113657020778057,0.9999809878049014,2.35755608428336e-05,0.9999905936735735,1.16342072197317e-05,0.3466666666666667,0.4550702021544466,0.8204793669961021,0.15307287856970853
gatedgraph,multihead,0,raw,0,raw,gps_artifacts/attn_tuned/multihead\node_level\gatedgraph\20260207_165556_692711__multihead__gatedgraph_multihead_lap0_rwse0,0.9451977401129943,0.0037952058877244077,0.9377684639333358,0.003899255476990758,0.9685191872165181,0.0012262237131660605,0.9750350721599613,0.0006460488345935515,0.1366666666666667,0.1084230397819373,0.935516078450873,0.008097348505986887
