epoch,train_loss,train_acc,train_f1,val_acc,val_f1,val_roc_auc,val_pr_auc,epoch_sec
1,0.7662052222564395,0.5157721280602636,0.50091222891654,0.6271186440677966,0.46587872882155096,0.5618779506750159,0.3752917842311151,0.5995259284973145
2,0.7141590327192835,0.591337099811676,0.5438982858384063,0.3347457627118644,0.2507936507936508,0.6411564854381109,0.4900530464336692,0.5966072082519531
3,0.6631641474371801,0.6379472693032016,0.6050504798932781,0.3347457627118644,0.2507936507936508,0.7521231422505308,0.6345435946893369,0.5761339664459229
4,0.5923514264002583,0.7208097928436912,0.6960691482430612,0.3347457627118644,0.2507936507936508,0.8346927714621015,0.7592945171596164,0.5644626617431641
5,0.4747755296822995,0.7999058380414312,0.7845526621601012,0.3347457627118644,0.2507936507936508,0.5,0.3347457627118644,0.5556128025054932
6,0.35667629857072275,0.8782956685499058,0.8680260092989247,0.3347457627118644,0.2507936507936508,0.8474887348043035,0.722439567572153,0.552236795425415
7,0.27076774195762676,0.9395009416195856,0.9330675620125418,0.3347457627118644,0.2507936507936508,0.9623634962867407,0.9344125470316822,0.5600504875183105
8,0.20984701363268096,0.9717514124293786,0.9683642264539509,0.3347457627118644,0.2507936507936508,0.9202444301109947,0.8860568260440832,0.5626206398010254
9,0.19062496410251337,0.9825800376647834,0.9804437994392037,0.6652542372881356,0.3994910941475827,0.9598439445653829,0.939536214443854,0.5713417530059814
10,0.17921393088252754,0.9875235404896422,0.9859763408367567,0.6652542372881356,0.3994910941475827,0.9890102752918201,0.9769260363090986,0.580115795135498
11,0.16500731603910693,0.995527306967985,0.9949726504886487,0.6652542372881356,0.3994910941475827,0.9832746557732449,0.9640180038400237,0.5659351348876953
12,0.1662016641734459,0.9941148775894538,0.9933897075505785,0.6701977401129944,0.4152335760162217,0.9865623908194254,0.9797160739762368,0.5682311058044434
13,0.16277462027952944,0.993879472693032,0.9931216777008289,0.6652542372881356,0.3994910941475827,0.993010203624571,0.9883342415506274,0.576005220413208
14,0.15730914894470388,0.9950564971751412,0.9944454071403617,0.6977401129943502,0.4959009848283205,0.9907974773128365,0.9842138131131332,0.5662178993225098
15,0.14671899824492676,0.9992937853107344,0.9992070424881245,0.8686440677966102,0.8330252196736277,0.9927302534333092,0.988149303888902,0.5654301643371582
16,0.14507215580922286,0.998587570621469,0.9984138075414839,0.6652542372881356,0.3994910941475827,0.999204941456816,0.9984602864896198,0.5725910663604736
17,0.1444284184897238,0.9997645951035782,0.9997356808293748,0.6652542372881356,0.3994910941475827,0.9999216139464466,0.9998448387925021,0.5725693702697754
18,0.14428834864087473,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9997245290117982,0.9994608626850656,0.5760564804077148
19,0.1433311284935407,0.9992937853107344,0.9992070424881245,0.6652542372881356,0.3994910941475827,0.9990481693497093,0.9981285040753134,0.5716643333435059
20,0.14142616488839274,0.9992937853107344,0.9992070424881245,0.6652542372881356,0.3994910941475827,0.9911087819255199,0.9833668878581764,0.5661160945892334
21,0.14047609856124202,0.9997645951035782,0.9997357731605119,0.6652542372881356,0.3994910941475827,0.9947167799905041,0.9907256884455633,0.5767011642456055
22,0.14100923727348924,0.9988229755178908,0.9986797861775727,0.6652542372881356,0.3994910941475827,0.10574726544653174,0.19945432017238277,0.5729713439941406
23,0.14085528349921303,1.0,1.0,0.6652542372881356,0.3994910941475827,0.6186171356392269,0.4210721832444829,0.5642666816711426
24,0.13940215155678728,0.9995291902071564,0.9994716385052146,0.3347457627118644,0.2507936507936508,0.9995879133184623,0.9991803261558355,0.5736038684844971
25,0.13942087914535106,0.9990583804143126,0.9989429080777948,0.6652542372881356,0.3994910941475827,0.9970840388078153,0.9925495968143694,0.5747394561767578
26,0.14921594159975787,0.9936440677966102,0.9928929506579455,0.6652542372881356,0.3994910941475827,0.6814558753706541,0.4778417280345531,0.5682921409606934
27,0.13950559412692226,0.9995291902071564,0.9994716385052146,0.3347457627118644,0.2507936507936508,0.867773925663146,0.6556472546225866,0.5756471157073975
28,0.14468943098956358,0.9981167608286252,0.9978872903205271,0.6652542372881356,0.3994910941475827,0.9895544984636334,0.981722653403107,0.5740349292755127
29,0.1386393588141533,0.9997645951035782,0.9997357731605119,0.6652542372881356,0.3994910941475827,0.9714002884606769,0.9267154062305619,0.5794260501861572
30,0.14145049000976226,0.9990583804143126,0.9989432770104292,0.6652542372881356,0.3994910941475827,0.9965420552375321,0.9938951936855653,0.5623912811279297
31,0.13822623006929335,0.9995291902071564,0.9994714540388974,0.3347457627118644,0.2507936507936508,0.7229299363057324,0.4759036144578313,0.5664265155792236
32,0.1392154196056269,0.9992937853107344,0.9992070424881245,0.3347457627118644,0.2507936507936508,0.5265392781316348,0.34699853587115664,0.5689940452575684
33,0.13907744543251568,0.9995291902071564,0.9994716385052146,0.9781073446327684,0.9751152935840928,0.9991063989894917,0.9981121093192672,0.5781359672546387
34,0.13847914991966973,0.9988229755178908,0.9986788658025595,0.6652542372881356,0.3994910941475827,0.11278409345409265,0.20020053267345939,0.5726141929626465
35,0.13714172361373003,1.0,1.0,0.6652542372881356,0.3994910941475827,0.02778673618389816,0.19386758231047538,0.5702581405639648
36,0.13790901959391413,0.9995291902071564,0.9994716385052146,0.6857344632768362,0.4621195113560799,0.4471274870774992,0.5474668720550409,0.5732443332672119
37,0.13692170872638904,1.0,1.0,0.4074858757062147,0.36381361400652773,0.999952968367868,0.9999074405102111,0.567312479019165
38,0.1356655376666908,1.0,1.0,0.844632768361582,0.83971614857745,1.0,1.0,0.5710184574127197
39,0.1355021577714302,0.9997645951035782,0.9997357731605119,0.7669491525423728,0.6584839634804115,0.8913681277827049,0.9079620129650786,0.5723738670349121
40,0.13479611740610695,0.9997645951035782,0.9997357731605119,0.6687853107344632,0.4107784048613816,0.15505657233465023,0.2876107757848262,0.5855858325958252
41,0.1345095290134182,1.0,1.0,0.9915254237288136,0.9904251866277183,0.9999507287663378,0.9999041193468434,0.5691015720367432
42,0.13435240479961402,1.0,1.0,0.346045197740113,0.2696363599904639,1.0,1.0,0.5659174919128418
43,0.13514249613280574,0.9995291902071564,0.9994716385052146,0.3411016949152542,0.2614573428121494,1.0,1.0,0.5631217956542969
44,0.1344316794822894,1.0,1.0,0.8403954802259888,0.8355934676330548,1.0,1.0,0.5571091175079346
45,0.1339137663612258,0.9997645951035782,0.9997357731605119,0.71045197740113,0.5295955507011989,0.7827575317799458,0.8341932785002201,0.5719919204711914
46,0.1349724617325429,0.9995291902071564,0.9994712691804946,0.6652542372881356,0.3994910941475827,0.9903853906312989,0.9838672909013302,0.5791099071502686
47,0.13588647246922028,0.9990583804143126,0.9989436451602636,0.6652542372881356,0.3994910941475827,0.9980672238795274,0.9929579348018658,0.5705914497375488
48,0.13443709982878296,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9990571277558297,0.9973070495853852,0.5737600326538086
