epoch,train_loss,train_acc,train_f1,val_acc,val_f1,val_roc_auc,val_pr_auc,epoch_sec
1,0.7090535920443058,0.5659133709981168,0.5336087232474258,0.3347457627118644,0.2507936507936508,0.6906774346708233,0.5788579064906146,0.08117103576660156
2,0.6471815210277752,0.6598399246704332,0.6444789892628874,0.3347457627118644,0.2507936507936508,0.7400236949841884,0.6463664647149131,0.08167767524719238
3,0.5999359483997252,0.7603578154425612,0.7295375588492895,0.3347457627118644,0.2507936507936508,0.7858381036845924,0.7015711694408305,0.07706499099731445
4,0.5571751114114305,0.8013182674199624,0.7847060824216314,0.3347457627118644,0.2507936507936508,0.8518078063550933,0.7737076757798108,0.0908207893371582
5,0.5505316291151747,0.821563088512241,0.8001673637674571,0.4357344632768362,0.40311950176602945,0.8687660691409783,0.788455288670786,0.07767701148986816
6,0.5328862680553716,0.8366290018832392,0.8123502933029167,0.3347457627118644,0.2507936507936508,0.8729317279869565,0.7971920224133102,0.07967185974121094
7,0.5138805311053936,0.8392184557438794,0.8114189589403369,0.3347457627118644,0.2507936507936508,0.8662935490517527,0.8009493482790478,0.07717299461364746
8,0.4840725828698799,0.824623352165725,0.8108838643856197,0.3347457627118644,0.2507936507936508,0.8936525213434027,0.8258023536222873,0.07652497291564941
9,0.4758347169603107,0.864406779661017,0.8498665465688049,0.6652542372881356,0.3994910941475827,0.9097798919616221,0.8501855656712833,0.07616519927978516
10,0.4572069363180976,0.8634651600753296,0.8531078296703296,0.6652542372881356,0.3994910941475827,0.9186711100361024,0.8598141482800042,0.07583904266357422
11,0.42682994242666356,0.8712335216572504,0.8596373722618214,0.6652542372881356,0.3994910941475827,0.9204112804249868,0.8551460552969762,0.07716250419616699
12,0.4158303289763672,0.8818267419962336,0.8684634054329989,0.6652542372881356,0.3994910941475827,0.9262700780277173,0.8543418137573837,0.07767176628112793
13,0.394680332104814,0.9058380414312618,0.8920121532085203,0.6652542372881356,0.3994910941475827,0.9386125220600751,0.8940481543632748,0.0805063247680664
14,0.4030619011086933,0.902306967984934,0.8910586079995284,0.6652542372881356,0.3994910941475827,0.944199208076899,0.9079292759542182,0.07666683197021484
15,0.35796690234132184,0.9103107344632768,0.9009959508052969,0.6652542372881356,0.3994910941475827,0.9479986920727064,0.9120573038626428,0.07868385314941406
16,0.34862374787950245,0.9093691148775894,0.9010016719451288,0.3411016949152542,0.2614573428121494,0.9451140853019431,0.9032617897726516,0.07114982604980469
17,0.34759596624392347,0.8980696798493408,0.890614579073282,0.6652542372881356,0.3994910941475827,0.9622044845781039,0.9299491875347038,0.07919454574584961
18,0.31398210889202055,0.9307909604519774,0.9232192307512602,0.6652542372881356,0.3994910941475827,0.9616625010078208,0.9318486535842002,0.07967090606689453
19,0.3002126965594606,0.9357344632768362,0.929415730177054,0.6652542372881356,0.3994910941475827,0.96445080491279,0.9346666761406023,0.07266974449157715
20,0.291163390134014,0.9423258003766478,0.9358359705117716,0.6652542372881356,0.3994910941475827,0.9695313409838121,0.9452180984086631,0.07515501976013184
21,0.2896546270214232,0.9559792843691148,0.950485433806892,0.6652542372881356,0.3994910941475827,0.9638281956874233,0.9336225587417354,0.08273100852966309
22,0.3040659906949476,0.9498587570621468,0.9436803083309291,0.471045197740113,0.4493604936412794,0.9415284832522596,0.9043796504837693,0.08241844177246094
23,0.30541397970724016,0.9380885122410546,0.932311701432917,0.6673728813559322,0.40628930817610065,0.9684910460730828,0.9469478409585748,0.08017730712890625
24,0.27972463306509615,0.9515065913370998,0.9466139831187819,0.6652542372881356,0.3994910941475827,0.9737384324580971,0.9478481577493738,0.08068990707397461
25,0.27233857241952036,0.9508003766478342,0.9451540317406975,0.6652542372881356,0.3994910941475827,0.9775435154577298,0.9600493981813505,0.08267951011657715
26,0.26793526379626575,0.9536252354048964,0.948320475350646,0.6652542372881356,0.3994910941475827,0.9767618945237263,0.9603359920334381,0.07818198204040527
27,0.2614370631632832,0.9599811676082862,0.9552748500924653,0.3347457627118644,0.2507936507936508,0.9783744076253953,0.9628316728548454,0.07815885543823242
28,0.2602006448415264,0.9470338983050848,0.9421783586506178,0.815677966101695,0.7530706152989903,0.9697944941635984,0.9319663607858851,0.07715487480163574
29,0.2470717179797688,0.9637476459510358,0.9596346415275396,0.6758474576271186,0.43272350219554917,0.9789365476094493,0.9556276924859296,0.07704305648803711
30,0.2595834684910747,0.9637476459510358,0.9594007572825705,0.6793785310734464,0.4433942987362464,0.9841122667455007,0.9712906508454477,0.08199763298034668
31,0.2782086332639058,0.9493879472693032,0.943860002833677,0.6652542372881356,0.3994910941475827,0.9741482795381046,0.9497526317894861,0.0756525993347168
32,0.26132450074574815,0.952683615819209,0.9476689507454488,0.3347457627118644,0.2507936507936508,0.9818323523878631,0.9690893428512617,0.0811762809753418
33,0.2569794767095993,0.9644538606403014,0.9606484797395018,0.3361581920903955,0.2531779661016949,0.9847124799555662,0.9739585215172128,0.07615923881530762
34,0.28763306354174284,0.964924670433145,0.9600266130532163,0.3347457627118644,0.2507936507936508,0.9854806632803892,0.9745708391184739,0.07515883445739746
35,0.30364661275105737,0.9418549905838042,0.9367853143952436,0.6059322033898306,0.6044043194052807,0.9794046243292394,0.9653366855479156,0.0741424560546875
36,0.28607535564293296,0.960216572504708,0.9556359150648681,0.6652542372881356,0.3994910941475827,0.9831447588844993,0.9715411870859217,0.0711526870727539
37,0.2895629100655881,0.9566854990583804,0.952040702376146,0.6652542372881356,0.3994910941475827,0.9786543578166572,0.9617521956929767,0.07415175437927246
38,0.2745302495758861,0.9606873822975518,0.9561312873024832,0.3347457627118644,0.2507936507936508,0.9850573785912011,0.9730359929073726,0.07314252853393555
39,0.29522358405837007,0.9536252354048964,0.9483724307240227,0.3347457627118644,0.2507936507936508,0.9697049101023946,0.9534163650763017,0.07526111602783203
40,0.26155664242818083,0.96045197740113,0.9560237608143748,0.3347457627118644,0.2507936507936508,0.9832544993594741,0.9694976057230976,0.07466459274291992
41,0.24947723224338164,0.966572504708098,0.9629396893848373,0.3516949152542373,0.278864013101396,0.9858434787282648,0.9739822754420413,0.07414507865905762
42,0.2283184693919288,0.9743408662900188,0.9712293388269277,0.9286723163841808,0.916375035302744,0.9838188789450582,0.972776939401013,0.07420635223388672
43,0.24247351563807484,0.9733992467043314,0.9697412533743908,0.3347457627118644,0.2507936507936508,0.9658012846354377,0.95209781777236,0.07745575904846191
44,0.2479652826395412,0.972693032015066,0.9690918976122693,0.3347457627118644,0.2507936507936508,0.9385229379988712,0.9172557735366221,0.07616972923278809
45,0.23327351503228513,0.9656308851224106,0.9619453399288984,0.336864406779661,0.2543669720140308,0.9870864575774678,0.9759027325679914,0.07466340065002441
46,0.2356944289584618,0.9628060263653484,0.9586413940992334,0.6652542372881356,0.3994910941475827,0.9785580549508632,0.9497324548525098,0.07353997230529785
47,0.23954498105578953,0.9705743879472694,0.9669716450639869,0.6864406779661016,0.4641629847815415,0.9874380750176929,0.9758690191517597,0.0671391487121582
48,0.23874022428598782,0.9672787193973634,0.9634617389757354,0.7330508474576272,0.584866675973754,0.9904996103093338,0.9819251882493323,0.07213282585144043
49,0.23746441436577204,0.972693032015066,0.9694398117449537,0.3347457627118644,0.2507936507936508,0.9801873650640078,0.9697467574184759,0.07264280319213867
50,0.22581160315461526,0.9661016949152542,0.9626933176425128,0.3347457627118644,0.2507936507936508,0.9881637059134438,0.9788957201952878,0.07715439796447754
51,0.22314362965959164,0.9781073446327684,0.9755948562291142,0.3347457627118644,0.2507936507936508,0.9826162129233966,0.9704026976958753,0.07415080070495605
52,0.20768343212465332,0.974105461393597,0.9711868587213891,0.3347457627118644,0.2507936507936508,0.9790977989196162,0.9682851165936175,0.06794929504394531
53,0.20428995863865998,0.9825800376647834,0.9804232365331282,0.355225988700565,0.2845678906449308,0.9794830103827927,0.9694111229721496,0.07113885879516602
54,0.20723651672262705,0.9818738229755178,0.9795315989108,0.3425141242937853,0.26380433878170784,0.9914671181703351,0.9842268682583976,0.07064032554626465
55,0.21147336416549825,0.9759887005649718,0.9734052321407702,0.3347457627118644,0.2507936507936508,0.9880886792621857,0.9792918116410907,0.07213950157165527
56,0.2276319285570565,0.9795197740112994,0.9772076229910832,0.3347457627118644,0.2507936507936508,0.9809365117758249,0.9669724243153438,0.0776510238647461
57,0.20884574267823816,0.983286252354049,0.9813046886113799,0.3347457627118644,0.2507936507936508,0.9782881829664866,0.9604646123538775,0.07343053817749023
58,0.22524543154262106,0.9804613935969868,0.9780768195495496,0.3347457627118644,0.2507936507936508,0.9760015498042588,0.964309368553807,0.08016276359558105
59,0.239773410300526,0.9712806026365348,0.9680436069455407,0.5995762711864406,0.5977657661629504,0.9762355881641538,0.964049486158279,0.0731661319732666
60,0.20900282864292238,0.974105461393597,0.9712155905941362,0.6652542372881356,0.3994910941475827,0.991720193143236,0.9843150912884264,0.07063102722167969
61,0.21808334326339981,0.9759887005649718,0.9733001404944419,0.4879943502824859,0.47055374219897095,0.9858255619160239,0.976204388745434,0.07415914535522461
62,0.2167893223843332,0.9823446327683616,0.9803250540675048,0.3347457627118644,0.2507936507936508,0.9929004631495965,0.9867602484003786,0.0758213996887207
