model,fold,slice_type,bucket,support,accuracy,f1_macro,roc_auc,pr_auc
baseline_sage,1,degree,low,487,0.6694045174537988,0.6692650662887176,0.9913046723391552,0.9863447728224564
baseline_sage,1,degree,mid,644,0.6661490683229814,0.6660838528415189,0.9956769804696072,0.9929734431718039
baseline_sage,1,degree,high,285,0.6736842105263158,0.6736842105263158,0.9987874779541447,0.9975996487396438
baseline_sage,1,purity,low,466,0.648068669527897,0.6446056547619048,0.9940757361045504,0.9899050560754503
baseline_sage,1,purity,mid,455,0.643956043956044,0.6431959880726483,0.9943572863677168,0.9919104153704063
baseline_sage,1,purity,high,495,0.7111111111111111,0.7058823529411764,0.995669103623649,0.9922283325190606
baseline_sage,2,degree,low,466,0.6716738197424893,0.4017971758664955,0.9898097684228111,0.9837193074210424
baseline_sage,2,degree,mid,621,0.6473429951690821,0.39296187683284456,0.9953542788341398,0.9917943859915896
baseline_sage,2,degree,high,329,0.6899696048632219,0.40827338129496404,0.9974086550919928,0.9953706151088677
baseline_sage,2,purity,low,452,0.6460176991150443,0.3924731182795699,0.993193493150685,0.9884071267764983
baseline_sage,2,purity,mid,470,0.676595744680851,0.4035532994923858,0.99509682224429,0.9919564578631691
baseline_sage,2,purity,high,494,0.6720647773279352,0.4019370460048426,0.9949985125687937,0.9917058871054164
baseline_sage,3,degree,low,809,0.934487021013597,0.9271969368956354,0.9868549439978012,0.9758726115311451
baseline_sage,3,degree,mid,271,0.959409594095941,0.9538580605216315,0.9891891891891891,0.9854604966880298
baseline_sage,3,degree,high,336,0.9672619047619048,0.9641495707842281,0.9944798631628051,0.991581110598732
baseline_sage,3,purity,low,452,0.9292035398230089,0.9228191500715033,0.9828640316886249,0.9737088152160476
baseline_sage,3,purity,mid,473,0.9471458773784355,0.9401220345849052,0.9896137550902884,0.9814237321718668
baseline_sage,3,purity,high,491,0.9633401221995926,0.95916500332668,0.993604759248931,0.9888178173817568
baseline_sage,4,degree,low,457,0.6717724288840262,0.42611010648985337,0.9834554884059835,0.9753918788624057
baseline_sage,4,degree,mid,626,0.6597444089456869,0.4229665692956832,0.9961069413124207,0.9939472470144253
baseline_sage,4,degree,high,333,0.7057057057057057,0.44165754174650973,0.9900136565380676,0.9857538438268213
baseline_sage,4,purity,low,485,0.6721649484536083,0.4079417116446192,0.9844423076923077,0.9782683861785982
baseline_sage,4,purity,mid,458,0.6637554585152838,0.4280941878567722,0.9940262089564798,0.9897119872382059
baseline_sage,4,purity,high,473,0.6871035940803383,0.44882212144116906,0.9930006086427267,0.9898616188719126
baseline_sage,5,degree,low,464,0.9353448275862069,0.9294618425053207,0.9828048780487805,0.9725912162374432
baseline_sage,5,degree,mid,637,0.9497645211930926,0.942457091237579,0.9899347494099682,0.9769752440072291
baseline_sage,5,degree,high,315,0.9904761904761905,0.9897470950102529,0.9998690756742603,0.9997691478989421
baseline_sage,5,purity,low,484,0.9338842975206612,0.9235432340106233,0.9857744994731297,0.9709336916648665
baseline_sage,5,purity,mid,486,0.9753086419753086,0.9741709183673469,0.9967933301266635,0.9943433448624881
baseline_sage,5,purity,high,446,0.952914798206278,0.9454485092404378,0.9860098891570782,0.9720428565992418
baseline_plus_gps_transformer,1,degree,low,487,0.9630390143737166,0.9600601421541826,1.0,0.9999999999999998
baseline_plus_gps_transformer,1,degree,mid,644,0.967391304347826,0.9637937819756002,1.0,1.0
baseline_plus_gps_transformer,1,degree,high,285,0.9789473684210527,0.9767839687194526,1.0,0.9999999999999999
baseline_plus_gps_transformer,1,purity,low,466,0.9785407725321889,0.9773227181593445,1.0,1.0
