model,fold,accuracy,f1_macro,val_thr,val_thr_f1,roc_auc,pr_auc
baseline_sage,1,0.6687853107344632,0.668785145544636,0.99,0.6495804960604149,0.9949340213389234,0.991711229326357
baseline_sage,2,0.6652542372881356,0.3994910941475827,0.01,0.3994910941475827,0.994340526933448,0.9904799588452312
baseline_sage,3,0.9470338983050848,0.9411130302669044,0.51,0.9542068497916871,0.9892566314601307,0.9817790035472129
baseline_sage,4,0.6744350282485876,0.4283998021041755,0.01,0.4538721678247193,0.9909184157954617,0.986453750888546
baseline_sage,5,0.9540960451977402,0.9490656220064846,0.9600000000000001,0.9586701625867164,0.990483933098623,0.9818377457647893
baseline_plus_gps_transformer,1,0.9682203389830508,0.965106479450772,0.99,0.965106479450772,1.0,1.0
baseline_plus_gps_transformer,2,1.0,1.0,0.060000000000000005,1.0,1.0,1.0
baseline_plus_gps_transformer,3,0.998587570621469,0.9984143621166922,0.89,1.0,0.9999776039846989,0.9999562378797173
baseline_plus_gps_transformer,4,0.9971751412429378,0.9968353298766315,0.99,0.9984160187929974,1.0,1.0
baseline_plus_gps_transformer,5,0.992231638418079,0.9913016624345852,0.8300000000000001,1.0,0.9998701031112545,0.9997508225021914
