local_gnn,global_attn,depth,f1_mean,f1_std,auc_mean,auc_std,final_layer_variance,num_seeds,layer_0_variance,layer_1_variance
pna,none,1,0.506886875307928,0.009532377953430565,0.5962009803921569,0.02607570806100218,0.39004744247843826,2,0.34591780851284665,0.4696240443736315
pna,none,2,0.5016929711167958,0.0010452997374170714,0.6081835511982571,0.028799019607843146,1.0336935105733573,2,0.34802010655403137,0.48770110309123993
pna,none,3,0.4907052272264082,0.013645079434553037,0.5465686274509803,0.015795206971677578,10.228576538114188,2,0.34505196164051694,0.19387916972239813
pna,none,4,0.4687948748206998,0.03869763267180773,0.5319989106753813,0.05378540305010898,170.76006698272735,2,0.34374479701121646,0.733269194761912
pna,performer,1,0.5296914608508811,0.03130846246788277,0.6035539215686274,0.02117374727668847,1.0222529967625935,2,0.3492306595047315,1.0208874543507893
pna,performer,2,0.5225090813326108,0.0021492668551492122,0.5919798474945535,0.062023420479302815,1.0248717715342839,2,0.3460914691289266,1.0205538372198741
pna,performer,3,0.5333322070454424,0.0695992433124786,0.5593681917211328,0.04915577342047933,1.028580536444982,2,0.34960997849702835,1.023067593574524
pna,performer,4,0.5890100146565664,0.03428702243357423,0.5920479302832243,0.008033769063180873,1.0277129113674164,2,0.35347474614779156,1.020563413699468
