epoch,train_loss,val_accuracy,val_f1,val_roc_auc,val_selection
1,0.7104834814866384,0.6666666666666666,0.4,0.6875,0.6875
2,0.3544459541638692,0.75,0.6210526315789473,0.5625,0.5625
3,0.20381330450375876,0.75,0.6210526315789473,0.53125,0.53125
4,0.11388662954171498,0.8333333333333334,0.7777777777777777,0.625,0.625
5,0.10485086031258106,0.75,0.6210526315789473,0.6875,0.6875
6,0.048750405199825764,0.8333333333333334,0.7777777777777777,0.8125,0.8125
7,0.16638045152649283,0.8333333333333334,0.7777777777777777,0.9375,0.9375
8,0.08543418518578012,0.75,0.6210526315789473,1.0,1.0
9,0.24676064743349949,0.75,0.6210526315789473,0.78125,0.78125
10,0.020917386282235384,0.75,0.6210526315789473,0.59375,0.59375
11,0.0568212845052282,0.75,0.6210526315789473,0.59375,0.59375
12,0.04122125388433536,0.75,0.6210526315789473,0.59375,0.59375
13,0.060648299443225064,0.6666666666666666,0.5555555555555556,0.625,0.625
14,0.10413949005305767,0.75,0.6974789915966386,0.65625,0.65625
15,0.15420837700366974,0.6666666666666666,0.5555555555555556,0.65625,0.65625
16,0.07666605152189732,0.6666666666666666,0.5555555555555556,0.6875,0.6875
17,0.0694216713309288,0.6666666666666666,0.5555555555555556,0.6875,0.6875
18,0.02946294394011299,0.6666666666666666,0.5555555555555556,0.75,0.75
19,0.03355935037446519,0.6666666666666666,0.5555555555555556,0.71875,0.71875
20,0.1327935418424507,0.6666666666666666,0.5555555555555556,0.59375,0.59375
21,0.20272922609001398,0.6666666666666666,0.5555555555555556,0.5625,0.5625
22,0.05704941165943941,0.6666666666666666,0.5555555555555556,0.625,0.625
23,0.07294397940859199,0.6666666666666666,0.625,0.75,0.75
24,0.027631183465321858,0.75,0.6974789915966386,0.71875,0.71875
25,0.08706185485546787,0.8333333333333334,0.7777777777777777,0.78125,0.78125
26,0.029916774326314528,0.8333333333333334,0.7777777777777777,0.78125,0.78125
27,0.01589030702598393,0.75,0.6210526315789473,0.8125,0.8125
28,0.09753760377255578,0.6666666666666666,0.5555555555555556,0.71875,0.71875
