epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.8068087577819825,0.4,0.2857142857142857,0.49999999999999994
2,0.6883077502250672,0.6,0.375,0.375
3,0.7097797393798828,0.6,0.375,0.4583333333333333
4,0.6763187050819397,0.6,0.375,0.5416666666666667
5,0.7083993077278137,0.4,0.2857142857142857,0.5
6,0.7143974781036377,0.4,0.2857142857142857,0.5625
7,0.6956244468688965,0.6,0.375,0.625
8,0.6849300861358643,0.6,0.375,0.7083333333333334
9,0.6754250288009643,0.4,0.2857142857142857,0.6875
10,0.7030853986740112,0.4,0.2857142857142857,0.6666666666666666
11,0.706948745250702,0.6,0.375,0.625
12,0.6833616614341735,0.6,0.375,0.6666666666666666
