epoch,train_loss,val_accuracy,val_f1,val_roc_auc,val_selection
1,0.7432453632354736,0.75,0.6210526315789473,0.75,0.75
2,0.39311860998471576,0.6666666666666666,0.5555555555555556,0.75,0.75
3,0.22815518081188202,0.75,0.6974789915966386,0.8125,0.8125
4,0.11257195969422658,0.6666666666666666,0.6571428571428571,0.78125,0.78125
5,0.08626226832469304,0.75,0.7333333333333334,0.78125,0.78125
6,0.11961961568643649,0.6666666666666666,0.6571428571428571,0.71875,0.71875
7,0.19375024984280267,0.5833333333333334,0.5804195804195804,0.65625,0.65625
8,0.08164101311316092,0.6666666666666666,0.625,0.6875,0.6875
9,0.12592572160065174,0.6666666666666666,0.625,0.71875,0.71875
10,0.04574627553423246,0.6666666666666666,0.6571428571428571,0.75,0.75
11,0.03963856818154454,0.75,0.7482517482517483,0.78125,0.78125
12,0.10128010592112939,0.6666666666666666,0.625,0.625,0.625
13,0.06545908562839031,0.75,0.6974789915966386,0.78125,0.78125
14,0.02255738138531645,0.8333333333333334,0.8285714285714285,0.8125,0.8125
15,0.024171633102620643,0.8333333333333334,0.8285714285714285,0.8125,0.8125
16,0.013151703014348945,0.8333333333333334,0.8285714285714285,0.8125,0.8125
17,0.016112054465338588,0.8333333333333334,0.8285714285714285,0.8125,0.8125
18,0.006866989114011328,0.75,0.7333333333333334,0.8125,0.8125
19,0.0053696047980338335,0.75,0.7333333333333334,0.8125,0.8125
20,0.05236333756086727,0.75,0.7333333333333334,0.8125,0.8125
21,0.08503034691481541,0.5,0.4857142857142857,0.78125,0.78125
22,0.040819220865766205,0.5,0.4857142857142857,0.65625,0.65625
23,0.12996656447649002,0.5833333333333334,0.5555555555555556,0.75,0.75
