epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.6663289815187454,0.6666666666666666,0.4,0.5625
2,0.6894639283418655,0.3333333333333333,0.25,0.71875
3,0.5598858694235483,0.6666666666666666,0.4,0.65625
4,0.46464957296848297,0.75,0.6974789915966386,0.84375
5,0.23039061824480692,0.4166666666666667,0.37777777777777777,0.78125
6,0.20649767915407816,0.6666666666666666,0.4,0.875
7,0.19708246861894926,0.4166666666666667,0.37777777777777777,0.84375
8,0.13044209933529297,0.6666666666666666,0.4,0.71875
9,0.39328002588202554,0.5833333333333334,0.5804195804195804,0.75
10,0.1511623521024982,0.6666666666666666,0.625,0.78125
11,0.15948725895335278,0.5833333333333334,0.3684210526315789,0.75
12,0.0242239801834027,0.6666666666666666,0.6666666666666666,0.8125
13,0.05705836849908034,0.5833333333333334,0.3684210526315789,0.71875
14,0.01697172923013568,0.5833333333333334,0.3684210526315789,0.71875
15,0.00526116540034612,0.6666666666666666,0.5555555555555556,0.78125
16,0.005085682806869348,0.6666666666666666,0.5555555555555556,0.78125
17,0.003375793807208538,0.6666666666666666,0.5555555555555556,0.84375
18,0.0022219634459664426,0.75,0.6974789915966386,0.8125
19,0.001675907988101244,0.75,0.6974789915966386,0.8125
20,0.0015407023990216355,0.75,0.6974789915966386,0.78125
21,0.001378841552650556,0.75,0.6974789915966386,0.78125
22,0.0011397608614061028,0.75,0.6974789915966386,0.78125
23,0.0010003464218849938,0.75,0.6974789915966386,0.78125
24,0.0010008199994141858,0.6666666666666666,0.5555555555555556,0.78125
25,0.0009856896455554913,0.75,0.6974789915966386,0.78125
26,0.0009497201632863531,0.75,0.6974789915966386,0.78125
27,0.0006791817237778256,0.75,0.6974789915966386,0.78125
28,0.0008475098438793793,0.75,0.6974789915966386,0.78125
29,0.0005000994230310122,0.75,0.6974789915966386,0.78125
30,0.0004757611071302866,0.75,0.6974789915966386,0.78125
31,0.000553527429777508,0.75,0.6974789915966386,0.78125
32,0.000613871161476709,0.75,0.6974789915966386,0.78125
33,0.00041476578917354345,0.75,0.6974789915966386,0.78125
34,0.0003556323208613321,0.75,0.6974789915966386,0.78125
