epoch,train_loss,lr,val_accuracy,val_f1,val_roc_auc,val_selection
1,0.6594962775707245,0.0002,0.3333333333333333,0.25,0.625,0.625
2,0.5733006199200948,0.0003,0.6666666666666666,0.6571428571428571,0.78125,0.78125
3,0.4609473645687103,0.0004,0.75,0.7482517482517483,0.8125,0.8125
4,0.30609702070554096,0.0005,0.75,0.7333333333333334,0.875,0.875
5,0.2777222121755282,0.0006,0.8333333333333334,0.8285714285714285,0.84375,0.84375
6,0.1598974826435248,0.0007,0.6666666666666666,0.625,0.6875,0.6875
7,0.1462516070653995,0.0008,0.6666666666666666,0.6666666666666666,0.78125,0.78125
8,0.5438510353366534,0.0009000000000000001,0.6666666666666666,0.6571428571428571,0.75,0.75
9,0.11234787106513977,0.001,0.6666666666666666,0.625,0.71875,0.71875
10,0.33852778499325115,0.0009997981354499536,0.75,0.7333333333333334,0.78125,0.78125
11,0.19609393303593,0.000999192706443437,0.75,0.7333333333333334,0.8125,0.8125
12,0.16921602562069893,0.0009981842067770322,0.75,0.7333333333333334,0.84375,0.84375
13,0.10686356853693724,0.0009967734589975323,0.8333333333333334,0.8125,0.96875,0.96875
14,0.17812305626769862,0.0009949616137310618,0.6666666666666666,0.5555555555555556,0.875,0.875
15,0.11109867412596941,0.000992750148744608,0.6666666666666666,0.6571428571428571,0.875,0.875
16,0.208010192339619,0.0009901408677407348,0.9166666666666666,0.8991596638655461,0.875,0.875
17,0.19749187026172876,0.0009871358988864552,0.75,0.7333333333333334,0.9375,0.9375
18,0.06960863123337428,0.0009837376930774688,0.8333333333333334,0.8125,0.9375,0.9375
19,0.0193505537075301,0.0009799490219391763,0.8333333333333334,0.8125,0.9375,0.9375
20,0.02302935238306721,0.0009757729755661011,0.8333333333333334,0.8125,0.9375,0.9375
21,0.014039200187350312,0.0009712129600015647,0.8333333333333334,0.7777777777777777,1.0,1.0
22,0.07353128353133798,0.0009662726944596689,0.8333333333333334,0.7777777777777777,1.0,1.0
23,0.02738980296999216,0.0009609562082918508,0.8333333333333334,0.7777777777777777,0.90625,0.90625
24,0.05101034386704365,0.0009552678377004867,0.75,0.6974789915966386,0.84375,0.84375
25,0.01245607614206771,0.0009492122222022224,0.8333333333333334,0.7777777777777777,0.78125,0.78125
26,0.012980285527495047,0.0009427943008439181,0.8333333333333334,0.7777777777777777,0.6875,0.6875
27,0.07064101392946516,0.0009360193081742898,0.75,0.6974789915966386,0.78125,0.78125
28,0.1236056072326998,0.0009288927699745367,0.6666666666666666,0.5555555555555556,0.84375,0.84375
29,0.06569797825068235,0.0009214204987514347,0.8333333333333334,0.8125,0.875,0.875
30,0.06496741207471739,0.0009136085889965731,0.75,0.6974789915966386,0.9375,0.9375
31,0.1575441121434172,0.000905463412215599,0.75,0.6974789915966386,0.875,0.875
32,0.054933655386169754,0.0008969916117315263,0.6666666666666666,0.625,0.8125,0.8125
33,0.36346289585344493,0.0008882000972663459,0.6666666666666666,0.6571428571428571,0.90625,0.90625
34,0.30931637110188603,0.0008790960393053579,0.6666666666666666,0.6571428571428571,0.875,0.875
35,0.11726152555396159,0.0008696868632488205,0.8333333333333334,0.8125,0.90625,0.90625
36,0.09886362807204326,0.0008599802433556869,0.8333333333333334,0.7777777777777777,0.96875,0.96875
37,0.24067790185411772,0.0008499840964843702,0.75,0.6210526315789473,0.96875,0.96875
38,0.15112538449466228,0.0008397065756356396,0.75,0.6210526315789473,0.84375,0.84375
39,0.2643180998663108,0.0008291560633029161,0.8333333333333334,0.7777777777777777,0.9375,0.9375
40,0.042606466760238014,0.0008183411646353909,0.8333333333333334,0.8125,0.9375,0.9375
41,0.04682059089342753,0.0008072707004195419,0.8333333333333334,0.8125,0.9375,0.9375
42,0.04590370164563259,0.0007959536998847742,0.8333333333333334,0.8125,0.9375,0.9375
43,0.03294044670959314,0.0007843993933390509,0.9166666666666666,0.8991596638655461,0.9375,0.9375
44,0.0300113995714734,0.0007726172046405209,0.9166666666666666,0.8991596638655461,0.9375,0.9375
45,0.042005065906172,0.0007606167435112862,0.9166666666666666,0.8991596638655461,0.96875,0.96875
46,0.42818679676080745,0.000748407797699574,0.9166666666666666,0.8991596638655461,0.96875,0.96875
47,0.04517442469174663,0.0007360003249967086,0.9166666666666666,0.8991596638655461,1.0,1.0
48,0.1473217971312503,0.0007234044451153945,0.8333333333333334,0.8125,0.96875,0.96875
49,0.1765684176546832,0.0007106304314359338,0.75,0.6974789915966386,0.9375,0.9375
50,0.060651505210747324,0.0006976887026271089,0.8333333333333334,0.7777777777777777,1.0,1.0
51,0.03022551101942857,0.0006845898141485672,0.9166666666666666,0.8991596638655461,0.96875,0.96875
