epoch,train_loss,val_accuracy,val_f1,val_roc_auc,val_selection
1,0.7027753094832102,0.3333333333333333,0.25,0.5625,0.5625
2,0.3990146070718765,0.4166666666666667,0.37777777777777777,0.3125,0.3125
3,0.26180083801349,0.25,0.24475524475524477,0.4375,0.4375
4,0.10520792069534461,0.3333333333333333,0.3333333333333333,0.40625,0.40625
5,0.06685627686480682,0.3333333333333333,0.3333333333333333,0.3125,0.3125
6,0.0513250253473719,0.4166666666666667,0.4125874125874126,0.375,0.375
7,0.04958857782185078,0.25,0.24475524475524477,0.34375,0.34375
8,0.04804692758868138,0.25,0.24475524475524477,0.28125,0.28125
9,0.047455568021784224,0.6666666666666666,0.625,0.53125,0.53125
10,0.12695148773491383,0.6666666666666666,0.625,0.625,0.625
11,0.05486884821827213,0.5,0.4375,0.6875,0.6875
12,0.15793045470491052,0.5833333333333334,0.5804195804195804,0.65625,0.65625
13,0.20042865009357533,0.3333333333333333,0.3142857142857143,0.46875,0.46875
14,0.24290323133269945,0.4166666666666667,0.4125874125874126,0.5,0.5
15,0.05777123539398114,0.4166666666666667,0.37777777777777777,0.46875,0.46875
16,0.04082750156521797,0.4166666666666667,0.37777777777777777,0.46875,0.46875
17,0.0321264344577988,0.5833333333333334,0.4957983193277311,0.40625,0.40625
18,0.10800634976476431,0.6666666666666666,0.4,0.53125,0.53125
19,0.027360450786848862,0.5833333333333334,0.5555555555555556,0.53125,0.53125
20,0.01933658868074417,0.25,0.24475524475524477,0.4375,0.4375
21,0.010699643598248562,0.25,0.24475524475524477,0.375,0.375
22,0.025342136543865006,0.4166666666666667,0.37777777777777777,0.40625,0.40625
23,0.017832929190869134,0.5833333333333334,0.4957983193277311,0.5,0.5
24,0.007749092609932025,0.6666666666666666,0.5555555555555556,0.65625,0.65625
25,0.008899974209877351,0.5833333333333334,0.4957983193277311,0.5625,0.5625
26,0.03128592669963837,0.5833333333333334,0.5555555555555556,0.5625,0.5625
27,0.009737826922597984,0.25,0.24475524475524477,0.34375,0.34375
28,0.0075564075183744235,0.25,0.24475524475524477,0.34375,0.34375
29,0.11978459878203769,0.5,0.4375,0.34375,0.34375
30,0.006073364716333647,0.5,0.3333333333333333,0.4375,0.4375
31,0.008524097424621383,0.5,0.3333333333333333,0.40625,0.40625
32,0.06354995382328828,0.6666666666666666,0.625,0.5,0.5
33,0.024617419267694157,0.6666666666666666,0.625,0.625,0.625
34,0.09381482816146065,0.4166666666666667,0.4125874125874126,0.46875,0.46875
35,0.06840568493741254,0.6666666666666666,0.625,0.5625,0.5625
36,0.12146671422912429,0.75,0.6210526315789473,0.53125,0.53125
37,0.06303328605523954,0.6666666666666666,0.6571428571428571,0.75,0.75
38,0.14168790471740067,0.5,0.4857142857142857,0.53125,0.53125
39,0.11021054318795602,0.5833333333333334,0.5804195804195804,0.5625,0.5625
40,0.06727320258505642,0.5833333333333334,0.5804195804195804,0.59375,0.59375
41,0.024450456956401467,0.5,0.4857142857142857,0.625,0.625
42,0.06232348802344253,0.5,0.4857142857142857,0.625,0.625
43,0.031145096950543422,0.6666666666666666,0.5555555555555556,0.59375,0.59375
44,0.02140332874841988,0.5833333333333334,0.4957983193277311,0.59375,0.59375
45,0.011139485131328305,0.5833333333333334,0.4957983193277311,0.59375,0.59375
46,0.03714443805317084,0.5833333333333334,0.4957983193277311,0.4375,0.4375
47,0.0047355197214831906,0.4166666666666667,0.37777777777777777,0.4375,0.4375
48,0.010872743480528394,0.4166666666666667,0.37777777777777777,0.4375,0.4375
49,0.004359468584880233,0.6666666666666666,0.5555555555555556,0.53125,0.53125
50,0.012157795097058019,0.6666666666666666,0.5555555555555556,0.53125,0.53125
51,0.04617660717728237,0.3333333333333333,0.3142857142857143,0.375,0.375
52,0.0773517225170508,0.3333333333333333,0.3142857142857143,0.34375,0.34375
53,0.09667419075655441,0.5833333333333334,0.3684210526315789,0.46875,0.46875
54,0.019306414023352165,0.6666666666666666,0.4,0.46875,0.46875
55,0.05815866684618717,0.4166666666666667,0.29411764705882354,0.4375,0.4375
56,0.34663528881113354,0.5,0.4375,0.5,0.5
57,0.018998810982642073,0.5,0.4375,0.53125,0.53125
58,0.03414695089062055,0.5833333333333334,0.4957983193277311,0.46875,0.46875
59,0.023766706852863233,0.5833333333333334,0.4957983193277311,0.5625,0.5625
60,0.01860361957612137,0.5,0.3333333333333333,0.5625,0.5625
61,0.05018814040037493,0.5,0.3333333333333333,0.5625,0.5625
62,0.027378734938489895,0.5,0.3333333333333333,0.53125,0.53125
63,0.15175405431849262,0.6666666666666666,0.5555555555555556,0.375,0.375
64,0.014046712662093341,0.75,0.6210526315789473,0.4375,0.4375
65,0.016210306707459193,0.75,0.6210526315789473,0.46875,0.46875
66,0.006113872242470582,0.75,0.6210526315789473,0.46875,0.46875
67,0.22222653190450123,0.6666666666666666,0.4,0.5,0.5
