epoch,train_loss,val_accuracy,val_f1,val_roc_auc,val_selection
1,0.5219034254550934,0.3333333333333333,0.25,0.75,0.25
2,0.28402435407042503,0.3333333333333333,0.25,0.65625,0.25
3,0.2725756876170635,0.5833333333333334,0.5804195804195804,0.75,0.5804195804195804
4,0.12387003501256307,0.8333333333333334,0.8125,0.8125,0.8125
5,0.1950053141141931,0.75,0.7333333333333334,0.84375,0.7333333333333334
6,0.07544898241758347,0.5833333333333334,0.5555555555555556,0.59375,0.5555555555555556
7,0.20431759969020882,0.6666666666666666,0.5555555555555556,0.6875,0.5555555555555556
8,0.21676252161463103,0.75,0.6210526315789473,0.65625,0.6210526315789473
9,0.07566829398274422,0.75,0.6974789915966386,0.65625,0.6974789915966386
10,0.17373829241842031,0.75,0.7333333333333334,0.875,0.7333333333333334
11,0.1436579835911592,0.8333333333333334,0.8285714285714285,0.875,0.8285714285714285
12,0.138615058735013,0.8333333333333334,0.8285714285714285,0.9375,0.8285714285714285
13,0.03163587007050713,0.75,0.7333333333333334,0.9375,0.7333333333333334
14,0.11933641849706571,0.8333333333333334,0.8125,0.90625,0.8125
15,0.13113967732836804,0.75,0.6210526315789473,0.8125,0.6210526315789473
16,0.0381678935761253,0.75,0.6210526315789473,0.78125,0.6210526315789473
17,0.012005751874918738,0.75,0.6210526315789473,0.875,0.6210526315789473
18,0.014684303275619945,0.75,0.6210526315789473,0.8125,0.6210526315789473
19,0.031954418091724314,0.75,0.6210526315789473,0.84375,0.6210526315789473
20,0.004134415532462299,0.75,0.6210526315789473,0.90625,0.6210526315789473
21,0.002992474241182208,0.75,0.6210526315789473,0.90625,0.6210526315789473
22,0.01501237356569618,0.75,0.6210526315789473,0.90625,0.6210526315789473
23,0.005211844846295814,0.8333333333333334,0.8125,0.9375,0.8125
24,0.23404674317377308,0.6666666666666666,0.625,0.78125,0.625
25,0.1929380353540182,0.9166666666666666,0.8991596638655461,1.0,0.8991596638655461
26,0.08283267131385703,0.6666666666666666,0.5555555555555556,0.90625,0.5555555555555556
27,0.5693603739297638,0.9166666666666666,0.9111111111111111,0.9375,0.9111111111111111
28,0.039857760382195316,0.8333333333333334,0.8285714285714285,1.0,0.8285714285714285
29,0.04175394990791877,0.8333333333333334,0.8125,0.9375,0.8125
30,0.03304606303572655,0.8333333333333334,0.7777777777777777,0.90625,0.7777777777777777
31,0.029420330189168453,0.8333333333333334,0.7777777777777777,0.875,0.7777777777777777
32,0.027076577845339973,0.75,0.6210526315789473,0.875,0.6210526315789473
33,0.05103853236262997,0.8333333333333334,0.7777777777777777,0.875,0.7777777777777777
34,0.06574646872468293,0.5833333333333334,0.5804195804195804,0.75,0.5804195804195804
35,0.13132787169888616,0.6666666666666666,0.5555555555555556,0.6875,0.5555555555555556
36,0.11609867967975636,0.5833333333333334,0.3684210526315789,0.6875,0.3684210526315789
37,0.4201159570366144,0.6666666666666666,0.625,0.625,0.625
38,0.24078788313393792,0.6666666666666666,0.625,0.8125,0.625
39,0.047954280860722065,0.75,0.6210526315789473,0.71875,0.6210526315789473
40,0.08778848933676879,0.75,0.6210526315789473,0.75,0.6210526315789473
41,0.008500741484264532,0.75,0.6210526315789473,0.8125,0.6210526315789473
42,0.02239484724123031,0.75,0.6210526315789473,0.8125,0.6210526315789473
43,0.023068545929466684,0.75,0.6210526315789473,0.875,0.6210526315789473
44,0.01655944826779887,0.75,0.6210526315789473,0.875,0.6210526315789473
45,0.05396941509873917,0.75,0.6210526315789473,0.84375,0.6210526315789473
46,0.03819301751597474,0.6666666666666666,0.4,0.90625,0.4
47,0.06037070939783007,0.75,0.6210526315789473,0.875,0.6210526315789473
48,0.002711896270435924,0.5,0.4375,0.71875,0.4375
49,0.15521501447074115,0.8333333333333334,0.8285714285714285,0.8125,0.8285714285714285
50,0.015723228726225596,0.8333333333333334,0.8125,0.9375,0.8125
51,0.03167840626944477,0.75,0.6210526315789473,0.96875,0.6210526315789473
52,0.03111360431648791,0.75,0.6210526315789473,0.9375,0.6210526315789473
53,0.0020831835378582277,0.75,0.6210526315789473,0.9375,0.6210526315789473
54,0.0033623484584192434,0.75,0.6210526315789473,0.84375,0.6210526315789473
55,0.03203131424379535,0.75,0.6210526315789473,0.875,0.6210526315789473
56,0.0011843981434746336,0.75,0.6210526315789473,0.90625,0.6210526315789473
57,0.0023604352512241653,0.75,0.6210526315789473,0.90625,0.6210526315789473
