local_gnn,global_attn,lap_pe_dim,lap_pe_encoder,rwse_dim,rwse_encoder,out_dir,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std
sage,none,8,raw,8,linear,gps_artifacts/data_agumentation/strong\graph_level\sage\20260207_212637_739121__none__sage_none_lap8_rwse8,0.5333333333333333,0.1115546702045434,0.43230331262939964,0.09233905186528936,0.6542222222222223,0.1161233911634889
gcn,none,8,raw,8,linear,gps_artifacts/data_agumentation/strong\graph_level\gcn\20260207_212702_933629__none__gcn_none_lap8_rwse8,0.6399999999999999,0.03265986323710904,0.5498215235057341,0.10376310466894892,0.6995555555555555,0.06992623979841671
pna,none,8,raw,8,linear,gps_artifacts/data_agumentation/strong\graph_level\pna\20260207_212731_590898__none__pna_none_lap8_rwse8,0.6133333333333333,0.07774602526460399,0.4763561076604555,0.07292707846802393,0.5028148148148148,0.1898669810881939
gin,none,8,raw,8,linear,gps_artifacts/data_agumentation/strong\graph_level\gin\20260207_212826_294400__none__gin_none_lap8_rwse8,0.6266666666666667,0.07999999999999999,0.5044369157412636,0.12849062541439282,0.6681481481481482,0.14239881012434244
gine,none,8,raw,8,linear,gps_artifacts/data_agumentation/strong\graph_level\gine\20260207_212852_554412__none__gine_none_lap8_rwse8,0.6933333333333334,0.06798692684790382,0.5912231996328107,0.13578393629717353,0.6607407407407407,0.13107804563175032
gatedgraph,none,8,raw,8,linear,gps_artifacts/data_agumentation/strong\graph_level\gatedgraph\20260207_212926_396459__none__gatedgraph_none_lap8_rwse8,0.5333333333333333,0.11155467020454339,0.4832373508844097,0.09923326809035009,0.5874074074074075,0.06807564581266987
