epoch,train_loss,val_accuracy,val_f1,val_roc_auc
1,0.5534358968337377,0.6666666666666666,0.5555555555555556,0.59375
2,0.40228570997714996,0.6666666666666666,0.6666666666666666,0.8125
3,0.2631691408654054,0.75,0.6210526315789473,0.6875
4,0.23261152704556784,0.8333333333333334,0.8285714285714285,0.8125
5,0.147498215859135,0.75,0.7482517482517483,0.84375
6,0.23102070639530817,0.75,0.6974789915966386,0.875
7,0.20927035746475062,0.75,0.6210526315789473,0.625
8,0.20668277330696583,0.4166666666666667,0.37777777777777777,0.5625
9,0.356945742542545,0.75,0.7482517482517483,0.75
10,0.09034396645923455,0.6666666666666666,0.6571428571428571,0.78125
11,0.208104120567441,0.75,0.6974789915966386,0.78125
12,0.05259625737865766,0.75,0.6974789915966386,0.75
13,0.22558140537391105,0.8333333333333334,0.8125,0.8125
14,0.04251444215575854,0.8333333333333334,0.8125,0.90625
15,0.05539078110208114,0.75,0.6974789915966386,0.8125
16,0.21549836111565432,0.8333333333333334,0.7777777777777777,0.71875
17,0.08988844541211923,0.75,0.6210526315789473,0.75
18,0.1170055246911943,0.9166666666666666,0.9111111111111111,0.875
19,0.15369243547320366,0.8333333333333334,0.8125,0.90625
20,0.020714448609699804,0.75,0.6210526315789473,0.8125
21,0.1544607214940091,0.6666666666666666,0.5555555555555556,0.75
22,0.024486393046875794,0.75,0.6210526315789473,0.875
23,0.06320056195060413,0.75,0.6210526315789473,0.875
24,0.011152407542491952,0.6666666666666666,0.5555555555555556,0.75
25,0.2904838550214966,0.6666666666666666,0.5555555555555556,0.75
26,0.10559533194949229,0.75,0.6210526315789473,0.875
27,0.013145729588965574,0.6666666666666666,0.5555555555555556,0.78125
28,0.045286140870302916,0.6666666666666666,0.625,0.78125
29,0.01124672731384635,0.75,0.6974789915966386,0.84375
30,0.12768792058341205,0.6666666666666666,0.5555555555555556,0.59375
31,0.030399146179358166,0.6666666666666666,0.5555555555555556,0.5625
32,0.0032537667041954896,0.6666666666666666,0.5555555555555556,0.65625
33,0.2734316724042098,0.5,0.4857142857142857,0.53125
34,0.06348380508522193,0.5,0.4857142857142857,0.53125
35,0.023160874998817842,0.4166666666666667,0.4125874125874126,0.53125
36,0.01060964617257317,0.5,0.4857142857142857,0.5625
37,0.12989152983451882,0.5,0.4857142857142857,0.5625
38,0.020379475007454555,0.5,0.4857142857142857,0.5
39,0.06260363121206562,0.4166666666666667,0.4125874125874126,0.46875
40,0.17379252969597778,0.5833333333333334,0.5555555555555556,0.6875
41,0.05176301455746094,0.6666666666666666,0.5555555555555556,0.6875
42,0.1768134074906508,0.5833333333333334,0.4957983193277311,0.6875
43,0.1320856928359717,0.6666666666666666,0.625,0.71875
44,0.0992526503590246,0.6666666666666666,0.5555555555555556,0.71875
45,0.1362258978188038,0.5833333333333334,0.5555555555555556,0.59375
46,0.05799088114872575,0.5833333333333334,0.5555555555555556,0.65625
47,0.05298632336780429,0.75,0.6210526315789473,0.71875
48,0.07459177998437856,0.75,0.6210526315789473,0.71875
49,0.004667602324237426,0.75,0.6210526315789473,0.59375
50,0.013065447409947714,0.75,0.6210526315789473,0.625
51,0.0026626354859520993,0.75,0.6210526315789473,0.59375
52,0.002466586088606467,0.75,0.6210526315789473,0.65625
53,0.0062864294547277195,0.75,0.6210526315789473,0.6875
