epoch,train_loss,val_accuracy,val_f1,val_roc_auc,val_selection
1,0.6931589295466741,0.5,0.4857142857142857,0.59375,0.4857142857142857
2,0.3755319615205129,0.5,0.5,0.71875,0.5
3,0.3582122375567754,0.8333333333333334,0.7777777777777777,0.78125,0.7777777777777777
4,0.24233427767952284,0.6666666666666666,0.4,0.6875,0.4
5,0.18316632881760597,0.6666666666666666,0.5555555555555556,0.34375,0.5555555555555556
6,0.10250326866904895,0.6666666666666666,0.5555555555555556,0.40625,0.5555555555555556
7,0.2400344175597032,0.6666666666666666,0.5555555555555556,0.625,0.5555555555555556
8,0.24327064026147127,0.5,0.5,0.46875,0.5
9,0.6367172077298164,0.75,0.7333333333333334,0.8125,0.7333333333333334
10,0.2961741437514623,0.6666666666666666,0.6571428571428571,0.65625,0.6571428571428571
11,0.14885047326485315,0.6666666666666666,0.6571428571428571,0.65625,0.6571428571428571
12,0.1503728497773409,0.75,0.6974789915966386,0.6875,0.6974789915966386
13,0.08332764574637015,0.6666666666666666,0.5555555555555556,0.75,0.5555555555555556
14,0.11815686461826165,0.6666666666666666,0.5555555555555556,0.71875,0.5555555555555556
15,0.045715436028937496,0.75,0.6210526315789473,0.8125,0.6210526315789473
16,0.1991231576539576,0.75,0.6210526315789473,0.84375,0.6210526315789473
17,0.055765433702617884,0.75,0.6974789915966386,0.75,0.6974789915966386
18,0.034607126687963806,0.75,0.6974789915966386,0.75,0.6974789915966386
19,0.02542154708256324,0.6666666666666666,0.5555555555555556,0.75,0.5555555555555556
20,0.029481164102132123,0.75,0.6974789915966386,0.75,0.6974789915966386
21,0.029473072771603864,0.6666666666666666,0.5555555555555556,0.71875,0.5555555555555556
22,0.009569142828695476,0.6666666666666666,0.5555555555555556,0.71875,0.5555555555555556
23,0.004154429382955034,0.75,0.6210526315789473,0.71875,0.6210526315789473
24,0.0031810806637319424,0.75,0.6210526315789473,0.71875,0.6210526315789473
25,0.06051485504334172,0.6666666666666666,0.5555555555555556,0.71875,0.5555555555555556
26,0.12402959373624374,0.75,0.6210526315789473,0.6875,0.6210526315789473
27,0.0068871139859159785,0.75,0.6210526315789473,0.71875,0.6210526315789473
28,0.006074373649122815,0.75,0.6210526315789473,0.71875,0.6210526315789473
29,0.1337055037729442,0.75,0.6210526315789473,0.6875,0.6210526315789473
30,0.16505652697136006,0.75,0.6210526315789473,0.6875,0.6210526315789473
31,0.3161897271250685,0.75,0.6210526315789473,0.75,0.6210526315789473
32,0.12128194545706113,0.5833333333333334,0.4957983193277311,0.75,0.4957983193277311
33,0.12600959713260332,0.5833333333333334,0.4957983193277311,0.75,0.4957983193277311
