epoch,train_loss,val_accuracy,val_f1,val_roc_auc,val_selection
1,0.6884916524092356,0.3333333333333333,0.25,0.90625,0.90625
2,0.3659820109605789,0.5833333333333334,0.5804195804195804,0.71875,0.71875
3,0.19702082375685373,0.6666666666666666,0.6571428571428571,0.75,0.75
4,0.0689694235722224,0.6666666666666666,0.6571428571428571,0.75,0.75
5,0.0559207396581769,0.75,0.7333333333333334,0.6875,0.6875
6,0.14628359147657952,0.6666666666666666,0.6571428571428571,0.71875,0.71875
7,0.032952070236206055,0.6666666666666666,0.6571428571428571,0.78125,0.78125
8,0.14551349667211375,0.75,0.7333333333333334,0.78125,0.78125
9,0.15667707938700914,0.8333333333333334,0.8125,0.75,0.75
10,0.18518612626940012,0.75,0.7333333333333334,0.8125,0.8125
11,0.07029943571736415,0.9166666666666666,0.8991596638655461,0.8125,0.8125
12,0.0643228879198432,0.8333333333333334,0.7777777777777777,0.8125,0.8125
13,0.019533125062783558,0.8333333333333334,0.7777777777777777,0.75,0.75
14,0.045418519216279186,0.8333333333333334,0.7777777777777777,0.65625,0.65625
15,0.01209525220716993,0.75,0.6974789915966386,0.625,0.625
16,0.06860694661736488,0.8333333333333334,0.7777777777777777,0.71875,0.71875
17,0.03183446195907891,0.8333333333333334,0.7777777777777777,0.71875,0.71875
18,0.011317311010013023,0.8333333333333334,0.7777777777777777,0.71875,0.71875
19,0.053581562358886003,0.9166666666666666,0.8991596638655461,0.78125,0.78125
20,0.00961455904568235,0.8333333333333334,0.7777777777777777,0.8125,0.8125
21,0.007437898699815075,0.8333333333333334,0.7777777777777777,0.75,0.75
