local_gnn,global_attn,lap_pe_dim,lap_pe_encoder,rwse_dim,rwse_encoder,out_dir,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std
sage,none,0,raw,0,raw,gps_artifacts\graph_level\sage\20260207_141734_577444__none__sage_none_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.43355119825708055,0.06726551956758639
sage,multihead,0,raw,0,raw,gps_artifacts\graph_level\sage\20260207_141740_068934__multihead__sage_multihead_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.40618191721132896,0.09482189910247174
sage,performer,0,raw,0,raw,gps_artifacts\graph_level\sage\20260207_141750_379446__performer__sage_performer_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.5445261437908496,0.09454618401553808
sage,graphormer,0,raw,0,raw,gps_artifacts\graph_level\sage\20260207_141803_714645__graphormer__sage_graphormer_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.4196623093681917,0.06827016698411828
sage,bigbird,0,raw,0,raw,gps_artifacts\graph_level\sage\20260207_141925_912775__bigbird__sage_bigbird_lap0_rwse0,0.56,0.1423610433604175,0.3532372298512901,0.0628810661236319,0.562636165577342,0.06428284465349385
gin,none,0,raw,0,raw,gps_artifacts\graph_level\gin\20260207_141939_258031__none__gin_none_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.35675381263616557,0.09014757696040426
gin,multihead,0,raw,0,raw,gps_artifacts\graph_level\gin\20260207_141943_882415__multihead__gin_multihead_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.3843954248366013,0.1049070721713348
gin,performer,0,raw,0,raw,gps_artifacts\graph_level\gin\20260207_141956_001923__performer__gin_performer_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.4720860566448802,0.17281691770720273
gin,graphormer,0,raw,0,raw,gps_artifacts\graph_level\gin\20260207_142012_947231__graphormer__gin_graphormer_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.5181100217864923,0.06058465453793941
gin,bigbird,0,raw,0,raw,gps_artifacts\graph_level\gin\20260207_142202_788352__bigbird__gin_bigbird_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.45465686274509803,0.10924264796820304
gine,none,0,raw,0,raw,gps_artifacts\graph_level\gine\20260207_142222_068847__none__gine_none_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.47794117647058815,0.08529140472651137
gine,multihead,0,raw,0,raw,gps_artifacts\graph_level\gine\20260207_142229_635213__multihead__gine_multihead_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.5923202614379085,0.1084792792811097
gine,performer,0,raw,0,raw,gps_artifacts\graph_level\gine\20260207_142249_974031__performer__gine_performer_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.44104030501089325,0.0887007696490139
gine,graphormer,0,raw,0,raw,gps_artifacts\graph_level\gine\20260207_142311_775543__graphormer__gine_graphormer_lap0_rwse0,0.6533333333333333,0.018856180831641284,0.39508323654665123,0.006843851927860503,0.545751633986928,0.15045550755886325
