epoch,train_loss,train_acc,train_f1,val_acc,val_f1,val_roc_auc,val_pr_auc
1,0.7411999045792272,0.5230024213075061,0.5139050077146318,0.3347457627118644,0.2507936507936508,0.5848137099447266,0.40908801544668344
2,0.6009842066441552,0.6752421307506054,0.6661586337672283,0.3347457627118644,0.2507936507936508,0.5,0.3347457627118644
3,0.5559562247688488,0.7318401937046005,0.7238503733572113,0.6652542372881356,0.3994910941475827,0.5593404821414174,0.38399889281730143
4,0.45006272348306947,0.8011501210653753,0.7893817030200976,0.3347457627118644,0.2507936507936508,0.5,0.3347457627118644
5,0.2987445081261688,0.9252421307506054,0.9173837359682651,0.3347457627118644,0.2507936507936508,0.600069875567739,0.38645816530074295
6,0.20216383361065937,0.972457627118644,0.9694091722628537,0.6652542372881356,0.3994910941475827,0.6235588164153834,0.4872154706416144
7,0.18247806491921081,0.9827481840193705,0.9806886156165163,0.934322033898305,0.9252624989571552,0.9729053006889014,0.963181224932671
8,0.16811297577749443,0.9927360774818402,0.9918194029204038,0.6652542372881356,0.3994910941475827,0.8724546928610462,0.8361914627371954
9,0.15112199213978164,0.99909200968523,0.9989799731224153,0.6652542372881356,0.3994910941475827,0.635594435038118,0.5396438862240223
10,0.15358426777271614,0.9975786924939467,0.997285411758423,0.6652542372881356,0.3994910941475827,0.6506467969218916,0.5653383583002642
11,0.15027542156110954,0.9972760290556901,0.9969412967827762,0.6652542372881356,0.3994910941475827,0.8358730414684619,0.7964232321298833
12,0.14448967410057567,0.9993946731234867,0.9993207457488017,0.6807909604519774,0.6807138880519134,0.9731897300832236,0.961449215611119
13,0.14607581391605856,0.9978813559322034,0.9976231425020001,0.9399717514124294,0.9292605446514894,0.9945376118680964,0.9901672409787866
14,0.14121134344659764,0.9993946731234867,0.9993207457488017,0.6652542372881356,0.3994910941475827,0.8700269648024224,0.8380521820082091
15,0.1405295923388322,0.9987893462469734,0.9986414914976035,0.6652542372881356,0.3994910941475827,0.7550413430442456,0.6825408491114126
16,0.1384001704018572,1.0,1.0,0.6652542372881356,0.3994910941475827,0.718943445582162,0.6326480607371365
17,0.13878470356181516,1.0,1.0,0.6652542372881356,0.3994910941475827,0.7083613283524597,0.6201001579653921
18,0.1373638893876757,1.0,1.0,0.6652542372881356,0.3994910941475827,0.6493377498275505,0.5395525344443468
19,0.13765532189650917,0.9993946731234867,0.9993207457488017,0.6885593220338984,0.47025004771903034,0.9896530409309575,0.9884591239606996
20,0.1367610044975835,1.0,1.0,0.5240112994350282,0.5137194158828505,0.9994916104526683,0.9989142528261172
21,0.13584405948694336,1.0,1.0,0.336864406779661,0.2543669720140308,0.9642749961926772,0.9322213433167386
22,0.1357036041001142,1.0,1.0,0.3347457627118644,0.2507936507936508,0.9229151549356339,0.8575265069387983
23,0.13496135950954427,1.0,1.0,0.3375706214689266,0.2555538865435534,0.9339474320728857,0.8791232737804882
24,0.1348942682038785,1.0,1.0,0.3686440677966102,0.3058138387128615,0.9831100450607828,0.9695064931777335
25,0.13465649437962085,1.0,1.0,0.7528248587570622,0.7510963612658528,0.9998611447051341,0.9997266452762212
26,0.13416308907850602,1.0,1.0,0.990819209039548,0.9896328877600156,0.9998006754638215,0.9996124283940908
27,0.13405237514660953,1.0,1.0,0.855225988700565,0.8129792214168041,0.9249677497379666,0.9374215916665217
28,0.13368275173495525,1.0,1.0,0.7266949152542372,0.5698754582894765,0.6244031461922295,0.7028103686758236
29,0.13366564823264937,1.0,1.0,0.6963276836158192,0.4920293796698291,0.4562784989294704,0.5735930666046314
30,0.133560083716314,1.0,1.0,0.7457627118644068,0.6136636472770927,0.6432695494817562,0.7269757257901743
31,0.1335382591436908,1.0,1.0,0.9781073446327684,0.9750030608380718,0.9968152866242038,0.9965246440221619
32,0.13307653724714283,1.0,1.0,0.876412429378531,0.8708841724733184,0.9999462495632776,0.9998937533296348
33,0.13311422636087525,1.0,1.0,0.510593220338983,0.4979162733296801,0.9942733388875451,0.9878963964809581
34,0.13298933622912112,0.9996973365617433,0.9996601440869751,0.4272598870056497,0.39155889535219485,0.982439284402519,0.9636325094132195
35,0.132827139903789,1.0,1.0,0.4548022598870056,0.4284590931905638,0.9908624257572092,0.9800918641462059
36,0.13297948796870346,1.0,1.0,0.6709039548022598,0.6709032982685735,0.9996819765827264,0.9993578654663695
37,0.1325565194463037,1.0,1.0,0.9781073446327684,0.9758027040599486,1.0,1.0
38,0.13216436565932582,1.0,1.0,0.9992937853107344,0.9992075958873331,1.0,1.0
39,0.13229313139188087,1.0,1.0,0.9950564971751412,0.994429680049409,1.0,1.0
40,0.13236277223932252,1.0,1.0,0.9872881355932204,0.9855907194464231,0.999977603984699,0.9999564110611291
41,0.1322771346886568,1.0,1.0,0.9018361581920904,0.879736552513829,0.9675952054610444,0.9739815224026386
42,0.13219854654180513,1.0,1.0,0.8029661016949152,0.7269860619592867,0.7961895419566951,0.844358607198467
43,0.13207655647187774,1.0,1.0,0.7817796610169492,0.6877645260528057,0.7056872441255252,0.7778325907460393
44,0.13216398876458046,1.0,1.0,0.8107344632768362,0.7406735184780231,0.7595227857059672,0.8200912707214497
45,0.1321111545507902,0.9996973365617433,0.9996602967160131,0.8757062146892656,0.8432919160923588,0.9072782570525053,0.9301965280725812
46,0.13203818706421241,1.0,1.0,0.9992937853107344,0.9992067649060694,0.9999977603984699,0.9999955585165445
47,0.13202613974598937,1.0,1.0,0.8227401129943502,0.8184770223400089,1.0,1.0
48,0.1319445177515829,1.0,1.0,0.375,0.3156495284154859,0.8971171849104607,0.7870731672818447
49,0.1316261854717287,1.0,1.0,0.3474576271186441,0.2719551282051282,0.8062050399992833,0.6610464972174
