epoch,train_loss,train_acc,train_f1,val_acc,val_f1,val_roc_auc,val_pr_auc
1,0.7435837056099935,0.5335956416464891,0.50861192285862,0.6652542372881356,0.3994910941475827,0.5582945882268626,0.3705794456542886
2,0.6927125224478309,0.6016949152542372,0.570532567335907,0.3347457627118644,0.2507936507936508,0.6818422066345956,0.5426981622966802
3,0.6237511670906953,0.6822033898305084,0.6554921064673582,0.3347457627118644,0.2507936507936508,0.7642785795551255,0.6399111302523763
4,0.5341471214271343,0.7602905569007264,0.7421659585537155,0.3347457627118644,0.2507936507936508,0.8424641887715336,0.7534536169966739
5,0.4115272838324669,0.8299031476997578,0.8186801490362212,0.3347457627118644,0.2507936507936508,0.904094663477474,0.8484500468688565
6,0.3159301815685291,0.8952784503631961,0.8871249557656337,0.643361581920904,0.6432831241909294,0.9441353794332912,0.9124088651961142
7,0.2310424331963495,0.9573244552058111,0.9527405066661933,0.3347457627118644,0.2507936507936508,0.5382042427011385,0.35271542795786637
8,0.1938543696019609,0.9818401937046005,0.9796767220963978,0.6652542372881356,0.3994910941475827,0.9536312899208973,0.8890283528820767
9,0.1809764115487115,0.9860774818401937,0.9842699494598228,0.6652542372881356,0.3994910941475827,0.9792590502297831,0.9488553276550755
10,0.16083288030387702,0.9960653753026635,0.9955758880128629,0.6652542372881356,0.3994910941475827,0.9915343062162381,0.9831806713780523
11,0.15531398067318497,0.9981840193704601,0.9979604056965424,0.6652542372881356,0.3994910941475827,0.9894111639657072,0.9730144663346807
12,0.1532280576791948,0.9981840193704601,0.9979585641241948,0.6652542372881356,0.3994910941475827,0.9967794529997223,0.9945754185980686
13,0.1473854227807851,0.9987893462469734,0.9986402704643617,0.9124293785310734,0.8946284413910313,0.9765558511829575,0.9671257427932993
14,0.14889000038690775,0.9987893462469734,0.9986402704643617,0.6652542372881356,0.3994910941475827,0.9924570220466374,0.9877289391955932
15,0.14469900950969852,0.99909200968523,0.9989804322609255,0.6652542372881356,0.3994910941475827,0.9958656955754432,0.9932359792276496
16,0.1442760887576073,0.99909200968523,0.9989808901480393,0.6652542372881356,0.3994910941475827,0.9920852481926415,0.9883492991685633
17,0.141724216591648,1.0,1.0,0.3997175141242938,0.35260110632273556,0.9898770010839673,0.9855800153917852
18,0.1411240325280021,0.9996973365617433,0.9996601440869751,0.8968926553672316,0.8730169649767208,0.9963427307013536,0.9941250696803341
19,0.14113664121951086,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9992004622537558,0.9984827339689915
20,0.1391547776163346,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9996170281383536,0.9992452623373014
21,0.13887319004853182,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9997805190500506,0.999564037391404
22,0.13864362001707708,0.9996973365617433,0.9996601440869751,0.6652542372881356,0.3994910941475827,0.9998857803219652,0.9997763046867115
23,0.13729424911751875,1.0,1.0,0.903954802259887,0.8825927912988343,0.9996416637551847,0.9993180743029726
24,0.13725779874850128,1.0,1.0,0.6899717514124294,0.4742723952074032,0.9999865623908194,0.9999732756613148
25,0.13741328309292367,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9999865623908194,0.9999736286919831
26,0.13584547181395007,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9998566655020739,0.9997113857699589
27,0.13614410158364015,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9999395307586875,0.999879082008296
28,0.13594200835533926,1.0,1.0,0.6652542372881356,0.3994910941475827,0.9999977603984699,0.9999955585165445
29,0.135139154969347,1.0,1.0,0.6709039548022598,0.4174485742032312,0.9999999999999999,1.0
30,0.13473442366423388,1.0,1.0,0.7754237288135594,0.6754119631503828,0.9999932811954098,0.9999866473993584
31,0.13492096159562073,1.0,1.0,0.6666666666666666,0.4040319013853419,0.9999955207969398,0.9999911076628708
32,0.13469277715567526,1.0,1.0,0.6652542372881356,0.3994910941475827,1.0,1.0
33,0.13470407952407948,1.0,1.0,0.6652542372881356,0.3994910941475827,1.0,1.0
34,0.13467527456924355,1.0,1.0,0.6652542372881356,0.3994910941475827,1.0,1.0
35,0.13408464088711264,1.0,1.0,0.7994350282485876,0.7206464233317031,0.9999888019923495,0.999977698483075
36,0.13378733324369566,0.9996973365617433,0.9996602967160131,0.9788135593220338,0.975823140123343,0.9999798435862292,0.9999596859609309
37,0.13381327479428298,1.0,1.0,0.7521186440677966,0.627506660820883,1.0,1.0
38,0.13371441129044817,1.0,1.0,0.6716101694915254,0.41965525173920976,1.0,1.0
39,0.13310666945165353,1.0,1.0,0.673728813559322,0.42622588487891133,1.0,1.0
40,0.13312057945110609,1.0,1.0,0.9915254237288136,0.9904251866277183,0.9999955207969398,0.9999911076628708
41,0.13289256123307253,1.0,1.0,0.7259887005649718,0.7251112747766499,0.9999999999999999,1.0
