model,baseline_f1_mean,baseline_f1_std,gps_f1_mean,gps_f1_std,delta_f1,baseline_auc_mean,baseline_auc_std,gps_auc_mean,gps_auc_std,delta_auc,baseline_stability_score,gps_stability_score,delta_stability_score
gatedgraph,0.5931436999999999,0.06033420676374223,0.5720661,0.06448258105170729,-0.02107759999999992,0.6830074,0.07591880479459619,0.6584741000000001,0.05498173667764598,-0.02453329999999998,0.5629765966181288,0.5398248094741463,-0.023151787143982472
gcn,0.5774792000000001,0.04696900361685353,0.5971118,0.03403996832489712,0.01963259999999989,0.6839556,0.05114040243525662,0.6536742,0.04756485336422264,-0.030281400000000014,0.5539946981915733,0.5800918158375514,0.026097117645978107
gin,0.5779988,0.05108167811417318,0.5894286999999999,0.0820269006071179,0.011429899999999882,0.6691407999999999,0.05673120710825744,0.6495999999999998,0.056346636801143685,-0.019540800000000025,0.5524579609429134,0.548415249696441,-0.004042711246472486
gine,0.5471307000000001,0.06668762770866873,0.5727539,0.04518570502592606,0.025623199999999957,0.6397629,0.0600878079005217,0.6699704999999999,0.03606658376184249,0.03020759999999989,0.5137868861456657,0.550161047487037,0.03637416134137128
pna,0.4616337,0.05526563645530556,0.5918017,0.04363735728260822,0.130168,0.5601038,0.0750311062837274,0.6852294999999999,0.03553895318449883,0.1251256999999999,0.4340008817723472,0.5699830213586958,0.13598213958634864
sage,0.5561228,0.06754510670922062,0.5983653,0.040149144227617097,0.04224249999999996,0.6781038,0.0562093616665409,0.6529332999999999,0.045722044807838584,-0.025170500000000096,0.5223502466453898,0.5782907278861914,0.05594048124080164
